dataset;method;model;Precision;Recall;F1-Score;G mean;Balanced Accuracy
Migraine_onevsrest_1;smote;Decision Tree;0.95;1.0;0.97;0.99;0.99
Migraine_onevsrest_1;smote;XGBoost;0.9;1.0;0.95;0.99;0.99
Migraine_onevsrest_1;smote;AdaBoost;0.9;1.0;0.95;0.99;0.99
Migraine_onevsrest_1;smote;Gradient Boosting;0.95;1.0;0.97;0.99;0.99
Migraine_onevsrest_1;smote;Extra Trees;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_1;smote;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_1;smote;Logistic Regression;0.95;1.0;0.97;0.99;0.99
Migraine_onevsrest_2;smote;KNN;0.36;0.57;0.44;0.73;0.75
Migraine_onevsrest_2;smote;Random Forest;0.6;0.43;0.5;0.65;0.7
Migraine_onevsrest_2;smote;Decision Tree;0.5;0.71;0.59;0.83;0.83
Migraine_onevsrest_2;smote;XGBoost;0.67;0.57;0.62;0.75;0.78
Migraine_onevsrest_2;smote;AdaBoost;0.5;0.71;0.59;0.83;0.83
Migraine_onevsrest_2;smote;Gradient Boosting;0.6;0.43;0.5;0.65;0.7
Migraine_onevsrest_2;smote;Extra Trees;0.43;0.43;0.43;0.64;0.7
Migraine_onevsrest_2;smote;Neural Network (MLP);0.55;0.86;0.67;0.9;0.91
Migraine_onevsrest_2;smote;Logistic Regression;0.46;0.86;0.6;0.9;0.9
Migraine_onevsrest_3;smote;KNN;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;smote;Random Forest;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;smote;Decision Tree;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;smote;XGBoost;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;smote;AdaBoost;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;smote;Gradient Boosting;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;smote;Extra Trees;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;smote;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;smote;Logistic Regression;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_4;smote;KNN;0.13;0.4;0.2;0.59;0.64
Migraine_onevsrest_4;smote;Random Forest;0.12;0.2;0.15;0.43;0.57
Migraine_onevsrest_4;smote;Decision Tree;0.27;0.6;0.38;0.75;0.76
Migraine_onevsrest_4;smote;XGBoost;0.25;0.4;0.31;0.61;0.67
Migraine_onevsrest_4;smote;AdaBoost;0.17;0.4;0.24;0.6;0.65
Migraine_onevsrest_4;smote;Gradient Boosting;0.3;0.6;0.4;0.75;0.77
Migraine_onevsrest_4;smote;Extra Trees;0.12;0.2;0.15;0.43;0.57
Migraine_onevsrest_4;smote;Neural Network (MLP);0.14;0.2;0.17;0.43;0.57
Migraine_onevsrest_4;smote;Logistic Regression;0.25;0.6;0.35;0.74;0.76
Migraine_onevsrest_5;smote;KNN;0.0;0.0;0.0;0.0;0.47
Migraine_onevsrest_5;smote;Random Forest;0.25;0.25;0.25;0.49;0.61
Migraine_onevsrest_5;smote;Decision Tree;0.14;0.25;0.18;0.49;0.6
Migraine_onevsrest_5;smote;XGBoost;0.17;0.25;0.2;0.49;0.6
Migraine_onevsrest_5;smote;AdaBoost;0.17;0.25;0.2;0.49;0.6
Migraine_onevsrest_5;smote;Gradient Boosting;0.2;0.25;0.22;0.49;0.61
Migraine_onevsrest_5;smote;Extra Trees;0.17;0.25;0.2;0.49;0.6
Migraine_onevsrest_5;smote;Neural Network (MLP);0.14;0.25;0.18;0.49;0.6
Migraine_onevsrest_5;smote;Logistic Regression;0.24;1.0;0.38;0.94;0.94
new-thyroid1;smote;KNN;1.0;1.0;1.0;1.0;1.0
new-thyroid1;smote;Random Forest;1.0;1.0;1.0;1.0;1.0
new-thyroid1;smote;Decision Tree;0.85;1.0;0.92;0.98;0.98
new-thyroid1;smote;XGBoost;0.92;1.0;0.96;0.99;0.99
new-thyroid1;smote;AdaBoost;0.92;1.0;0.96;0.99;0.99
new-thyroid1;smote;Gradient Boosting;0.92;1.0;0.96;0.99;0.99
new-thyroid1;smote;Extra Trees;1.0;1.0;1.0;1.0;1.0
new-thyroid1;smote;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
new-thyroid1;smote;Logistic Regression;1.0;1.0;1.0;1.0;1.0
newthyroid2;smote;KNN;0.92;1.0;0.96;0.99;0.99
newthyroid2;smote;Random Forest;1.0;0.91;0.95;0.95;0.95
newthyroid2;smote;Decision Tree;0.69;0.82;0.75;0.87;0.87
newthyroid2;smote;XGBoost;1.0;0.82;0.9;0.9;0.91
newthyroid2;smote;AdaBoost;1.0;1.0;1.0;1.0;1.0
newthyroid2;smote;Gradient Boosting;0.9;0.82;0.86;0.9;0.9
newthyroid2;smote;Extra Trees;1.0;1.0;1.0;1.0;1.0
newthyroid2;smote;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
newthyroid2;smote;Logistic Regression;1.0;1.0;1.0;1.0;1.0
Obesity_onevsrest_0;smote;KNN;0.71;1.0;0.83;0.97;0.97
Obesity_onevsrest_0;smote;Random Forest;0.93;0.94;0.93;0.96;0.96
Obesity_onevsrest_0;smote;Decision Tree;0.96;0.99;0.98;0.99;0.99
Obesity_onevsrest_0;smote;XGBoost;0.96;1.0;0.98;1.0;1.0
Obesity_onevsrest_0;smote;AdaBoost;0.95;1.0;0.98;1.0;1.0
Obesity_onevsrest_0;smote;Gradient Boosting;0.95;1.0;0.98;1.0;1.0
Obesity_onevsrest_0;smote;Extra Trees;0.96;0.91;0.94;0.95;0.95
Obesity_onevsrest_0;smote;Neural Network (MLP);0.9;0.94;0.92;0.96;0.96
Obesity_onevsrest_0;smote;Logistic Regression;0.9;1.0;0.95;0.99;0.99
Obesity_onevsrest_1;smote;KNN;0.83;0.81;0.82;0.89;0.89
Obesity_onevsrest_1;smote;Random Forest;0.84;0.95;0.9;0.96;0.96
Obesity_onevsrest_1;smote;Decision Tree;0.81;0.93;0.87;0.95;0.95
Obesity_onevsrest_1;smote;XGBoost;0.94;0.96;0.95;0.98;0.98
Obesity_onevsrest_1;smote;AdaBoost;0.42;0.87;0.56;0.84;0.84
Obesity_onevsrest_1;smote;Gradient Boosting;0.95;0.94;0.95;0.97;0.97
Obesity_onevsrest_1;smote;Extra Trees;0.8;0.86;0.83;0.91;0.91
Obesity_onevsrest_1;smote;Neural Network (MLP);0.6;0.87;0.71;0.89;0.89
Obesity_onevsrest_1;smote;Logistic Regression;0.39;0.86;0.54;0.82;0.83
Obesity_onevsrest_2;smote;KNN;0.75;0.96;0.84;0.96;0.96
Obesity_onevsrest_2;smote;Random Forest;0.93;0.81;0.86;0.89;0.9
Obesity_onevsrest_2;smote;Decision Tree;0.83;0.83;0.83;0.9;0.9
Obesity_onevsrest_2;smote;XGBoost;0.93;0.93;0.93;0.96;0.96
Obesity_onevsrest_2;smote;AdaBoost;0.48;0.86;0.61;0.86;0.86
Obesity_onevsrest_2;smote;Gradient Boosting;0.94;0.92;0.93;0.95;0.95
Obesity_onevsrest_2;smote;Extra Trees;0.96;0.77;0.85;0.88;0.88
Obesity_onevsrest_2;smote;Neural Network (MLP);0.64;0.89;0.74;0.91;0.91
Obesity_onevsrest_2;smote;Logistic Regression;0.32;0.71;0.45;0.74;0.74
Obesity_onevsrest_3;smote;KNN;0.81;0.95;0.88;0.96;0.96
Obesity_onevsrest_3;smote;Random Forest;0.94;0.92;0.93;0.95;0.96
Obesity_onevsrest_3;smote;Decision Tree;0.86;0.94;0.9;0.96;0.96
Obesity_onevsrest_3;smote;XGBoost;0.97;0.99;0.98;0.99;0.99
Obesity_onevsrest_3;smote;AdaBoost;0.41;0.95;0.57;0.86;0.87
Obesity_onevsrest_3;smote;Gradient Boosting;0.98;0.99;0.98;0.99;0.99
Obesity_onevsrest_3;smote;Extra Trees;0.98;0.92;0.95;0.96;0.96
Obesity_onevsrest_3;smote;Neural Network (MLP);0.78;0.89;0.83;0.92;0.92
Obesity_onevsrest_3;smote;Logistic Regression;0.35;0.8;0.49;0.78;0.78
Obesity_onevsrest_4;smote;KNN;0.92;0.98;0.95;0.98;0.98
Obesity_onevsrest_4;smote;Random Forest;0.99;0.96;0.98;0.98;0.98
Obesity_onevsrest_4;smote;Decision Tree;0.95;0.92;0.94;0.96;0.96
Obesity_onevsrest_4;smote;XGBoost;0.98;0.95;0.97;0.97;0.97
Obesity_onevsrest_4;smote;AdaBoost;0.62;0.87;0.72;0.88;0.88
Obesity_onevsrest_4;smote;Gradient Boosting;0.99;0.95;0.97;0.97;0.98
Obesity_onevsrest_4;smote;Extra Trees;0.99;0.9;0.95;0.95;0.95
Obesity_onevsrest_4;smote;Neural Network (MLP);0.84;0.88;0.86;0.92;0.92
Obesity_onevsrest_4;smote;Logistic Regression;0.36;0.73;0.48;0.74;0.74
Obesity_onevsrest_5;smote;KNN;0.99;0.99;0.99;0.99;0.99
Obesity_onevsrest_5;smote;Random Forest;1.0;0.98;0.99;0.99;0.99
Obesity_onevsrest_5;smote;Decision Tree;1.0;0.97;0.98;0.98;0.98
Obesity_onevsrest_5;smote;XGBoost;1.0;1.0;1.0;1.0;1.0
Obesity_onevsrest_5;smote;AdaBoost;1.0;0.98;0.99;0.99;0.99
Obesity_onevsrest_5;smote;Gradient Boosting;1.0;0.98;0.99;0.99;0.99
Obesity_onevsrest_5;smote;Extra Trees;1.0;0.98;0.99;0.99;0.99
Obesity_onevsrest_5;smote;Neural Network (MLP);0.99;0.96;0.97;0.98;0.98
Obesity_onevsrest_5;smote;Logistic Regression;0.87;0.96;0.91;0.97;0.97
Obesity_onevsrest_6;smote;KNN;0.93;0.99;0.96;0.99;0.99
Obesity_onevsrest_6;smote;Random Forest;1.0;0.99;0.99;0.99;0.99
Obesity_onevsrest_6;smote;Decision Tree;0.96;0.99;0.97;0.99;0.99
Obesity_onevsrest_6;smote;XGBoost;0.96;1.0;0.98;1.0;1.0
Obesity_onevsrest_6;smote;AdaBoost;0.9;1.0;0.95;0.99;0.99
Obesity_onevsrest_6;smote;Gradient Boosting;0.99;1.0;0.99;1.0;1.0
Obesity_onevsrest_6;smote;Extra Trees;0.99;1.0;0.99;1.0;1.0
Obesity_onevsrest_6;smote;Neural Network (MLP);0.98;1.0;0.99;1.0;1.0
Obesity_onevsrest_6;smote;Logistic Regression;0.99;1.0;0.99;1.0;1.0
page-blocks-1-3_vs_4;smote;KNN;0.42;1.0;0.59;0.96;0.96
page-blocks-1-3_vs_4;smote;Random Forest;1.0;1.0;1.0;1.0;1.0
page-blocks-1-3_vs_4;smote;Decision Tree;0.89;1.0;0.94;1.0;1.0
page-blocks-1-3_vs_4;smote;XGBoost;0.89;1.0;0.94;1.0;1.0
page-blocks-1-3_vs_4;smote;AdaBoost;0.89;1.0;0.94;1.0;1.0
page-blocks-1-3_vs_4;smote;Gradient Boosting;0.89;1.0;0.94;1.0;1.0
page-blocks-1-3_vs_4;smote;Extra Trees;1.0;1.0;1.0;1.0;1.0
page-blocks-1-3_vs_4;smote;Neural Network (MLP);0.57;1.0;0.73;0.98;0.98
page-blocks-1-3_vs_4;smote;Logistic Regression;0.42;1.0;0.59;0.96;0.96
pima;smote;KNN;0.56;0.55;0.55;0.65;0.66
pima;smote;Random Forest;0.62;0.68;0.65;0.73;0.73
pima;smote;Decision Tree;0.56;0.81;0.66;0.73;0.74
pima;smote;XGBoost;0.61;0.65;0.63;0.71;0.72
pima;smote;AdaBoost;0.58;0.78;0.67;0.74;0.74
pima;smote;Gradient Boosting;0.65;0.64;0.64;0.72;0.73
pima;smote;Extra Trees;0.63;0.65;0.64;0.72;0.72
pima;smote;Neural Network (MLP);0.56;0.6;0.58;0.67;0.67
pima;smote;Logistic Regression;0.63;0.72;0.67;0.75;0.75
transfusion;smote;KNN;0.33;0.38;0.35;0.54;0.57
transfusion;smote;Random Forest;0.38;0.49;0.43;0.61;0.62
transfusion;smote;Decision Tree;0.4;0.6;0.48;0.66;0.66
transfusion;smote;XGBoost;0.38;0.47;0.42;0.6;0.62
transfusion;smote;AdaBoost;0.39;0.72;0.5;0.68;0.68
transfusion;smote;Gradient Boosting;0.42;0.6;0.49;0.67;0.67
transfusion;smote;Extra Trees;0.42;0.68;0.52;0.69;0.69
transfusion;smote;Neural Network (MLP);0.38;0.62;0.47;0.65;0.65
transfusion;smote;Logistic Regression;0.41;0.79;0.54;0.72;0.72
vowel0;smote;KNN;0.96;1.0;0.98;1.0;1.0
vowel0;smote;Random Forest;0.96;1.0;0.98;1.0;1.0
vowel0;smote;Decision Tree;0.93;1.0;0.96;1.0;1.0
vowel0;smote;XGBoost;0.93;1.0;0.96;1.0;1.0
vowel0;smote;AdaBoost;0.96;1.0;0.98;1.0;1.0
vowel0;smote;Gradient Boosting;0.96;1.0;0.98;1.0;1.0
vowel0;smote;Extra Trees;0.96;1.0;0.98;1.0;1.0
vowel0;smote;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
vowel0;smote;Logistic Regression;0.76;0.93;0.83;0.95;0.95
yeast1;smote;KNN;0.49;0.67;0.57;0.69;0.69
yeast1;smote;Random Forest;0.56;0.57;0.57;0.68;0.7
yeast1;smote;Decision Tree;0.45;0.57;0.51;0.64;0.64
yeast1;smote;XGBoost;0.58;0.55;0.57;0.68;0.69
yeast1;smote;AdaBoost;0.53;0.65;0.59;0.71;0.71
yeast1;smote;Gradient Boosting;0.58;0.59;0.58;0.7;0.71
yeast1;smote;Extra Trees;0.6;0.58;0.59;0.7;0.71
yeast1;smote;Neural Network (MLP);0.54;0.66;0.59;0.71;0.72
yeast1;smote;Logistic Regression;0.5;0.74;0.6;0.72;0.72
yeast3;smote;KNN;0.61;0.84;0.71;0.88;0.89
yeast3;smote;Random Forest;0.75;0.84;0.79;0.9;0.9
yeast3;smote;Decision Tree;0.64;0.78;0.7;0.86;0.86
yeast3;smote;XGBoost;0.78;0.78;0.78;0.87;0.87
yeast3;smote;AdaBoost;0.73;0.92;0.81;0.94;0.94
yeast3;smote;Gradient Boosting;0.75;0.78;0.76;0.87;0.87
yeast3;smote;Extra Trees;0.78;0.8;0.79;0.88;0.88
yeast3;smote;Neural Network (MLP);0.65;0.94;0.77;0.94;0.94
yeast3;smote;Logistic Regression;0.52;0.9;0.66;0.9;0.9
abalone9-18;SMOTECDNN;KNN;0.21;0.69;0.33;0.76;0.77
abalone9-18;SMOTECDNN;Random Forest;0.23;0.54;0.32;0.69;0.71
abalone9-18;SMOTECDNN;Decision Tree;0.18;0.54;0.27;0.68;0.69
abalone9-18;SMOTECDNN;XGBoost;0.24;0.62;0.34;0.73;0.74
abalone9-18;SMOTECDNN;AdaBoost;0.24;0.69;0.35;0.77;0.78
abalone9-18;SMOTECDNN;Gradient Boosting;0.29;0.54;0.38;0.7;0.73
abalone9-18;SMOTECDNN;Extra Trees;0.25;0.46;0.32;0.65;0.69
abalone9-18;SMOTECDNN;Neural Network (MLP);0.28;0.77;0.41;0.82;0.82
abalone9-18;SMOTECDNN;Logistic Regression;0.25;0.92;0.39;0.87;0.87
cleveland-0_vs_4;SMOTECDNN;KNN;0.12;0.5;0.19;0.59;0.6
cleveland-0_vs_4;SMOTECDNN;Random Forest;0.67;0.5;0.57;0.7;0.74
cleveland-0_vs_4;SMOTECDNN;Decision Tree;0.22;0.5;0.31;0.65;0.68
cleveland-0_vs_4;SMOTECDNN;XGBoost;0.67;0.5;0.57;0.7;0.74
cleveland-0_vs_4;SMOTECDNN;AdaBoost;0.33;0.5;0.4;0.68;0.71
cleveland-0_vs_4;SMOTECDNN;Gradient Boosting;0.5;0.5;0.5;0.69;0.73
cleveland-0_vs_4;SMOTECDNN;Extra Trees;1.0;0.5;0.67;0.71;0.75
cleveland-0_vs_4;SMOTECDNN;Neural Network (MLP);0.25;0.75;0.38;0.78;0.78
cleveland-0_vs_4;SMOTECDNN;Logistic Regression;0.38;0.75;0.5;0.82;0.82
dermatology-6;SMOTECDNN;KNN;1.0;1.0;1.0;1.0;1.0
dermatology-6;SMOTECDNN;Random Forest;1.0;1.0;1.0;1.0;1.0
dermatology-6;SMOTECDNN;Decision Tree;1.0;1.0;1.0;1.0;1.0
dermatology-6;SMOTECDNN;XGBoost;1.0;1.0;1.0;1.0;1.0
dermatology-6;SMOTECDNN;AdaBoost;1.0;1.0;1.0;1.0;1.0
dermatology-6;SMOTECDNN;Gradient Boosting;1.0;1.0;1.0;1.0;1.0
dermatology-6;SMOTECDNN;Extra Trees;1.0;1.0;1.0;1.0;1.0
dermatology-6;SMOTECDNN;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
dermatology-6;SMOTECDNN;Logistic Regression;0.86;1.0;0.92;1.0;1.0
ecoli-0_vs_1;SMOTECDNN;KNN;0.98;1.0;0.99;0.98;0.98
ecoli-0_vs_1;SMOTECDNN;Random Forest;0.98;1.0;0.99;0.98;0.98
ecoli-0_vs_1;SMOTECDNN;Decision Tree;0.98;0.98;0.98;0.97;0.97
ecoli-0_vs_1;SMOTECDNN;XGBoost;0.98;1.0;0.99;0.98;0.98
ecoli-0_vs_1;SMOTECDNN;AdaBoost;0.98;1.0;0.99;0.98;0.98
ecoli-0_vs_1;SMOTECDNN;Gradient Boosting;0.98;1.0;0.99;0.98;0.98
ecoli-0_vs_1;SMOTECDNN;Extra Trees;0.98;0.98;0.98;0.97;0.97
ecoli-0_vs_1;SMOTECDNN;Neural Network (MLP);0.97;0.91;0.94;0.93;0.93
ecoli-0_vs_1;SMOTECDNN;Logistic Regression;0.98;0.95;0.96;0.96;0.96
ecoli1;SMOTECDNN;KNN;0.73;0.83;0.78;0.87;0.87
ecoli1;SMOTECDNN;Random Forest;0.69;0.87;0.77;0.88;0.88
ecoli1;SMOTECDNN;Decision Tree;0.75;0.91;0.82;0.91;0.91
ecoli1;SMOTECDNN;XGBoost;0.79;0.96;0.86;0.94;0.94
ecoli1;SMOTECDNN;AdaBoost;0.68;0.91;0.78;0.89;0.89
ecoli1;SMOTECDNN;Gradient Boosting;0.79;0.96;0.86;0.94;0.94
ecoli1;SMOTECDNN;Extra Trees;0.73;0.83;0.78;0.87;0.87
ecoli1;SMOTECDNN;Neural Network (MLP);0.62;0.78;0.69;0.82;0.82
ecoli1;SMOTECDNN;Logistic Regression;0.65;0.96;0.77;0.9;0.9
iris0;SMOTECDNN;KNN;1.0;1.0;1.0;1.0;1.0
iris0;SMOTECDNN;Random Forest;1.0;1.0;1.0;1.0;1.0
iris0;SMOTECDNN;Decision Tree;1.0;1.0;1.0;1.0;1.0
iris0;SMOTECDNN;XGBoost;0.94;1.0;0.97;0.98;0.98
iris0;SMOTECDNN;AdaBoost;1.0;1.0;1.0;1.0;1.0
iris0;SMOTECDNN;Gradient Boosting;1.0;1.0;1.0;1.0;1.0
iris0;SMOTECDNN;Extra Trees;1.0;1.0;1.0;1.0;1.0
iris0;SMOTECDNN;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
iris0;SMOTECDNN;Logistic Regression;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;SMOTECDNN;KNN;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;SMOTECDNN;Random Forest;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;SMOTECDNN;Decision Tree;0.8;1.0;0.89;1.0;1.0
kddcup-guess_passwd_vs_satan;SMOTECDNN;XGBoost;0.8;1.0;0.89;1.0;1.0
kddcup-guess_passwd_vs_satan;SMOTECDNN;AdaBoost;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;SMOTECDNN;Gradient Boosting;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;SMOTECDNN;Extra Trees;1.0;1.0;1.0;1.0;1.0
kddcup-guess_passwd_vs_satan;SMOTECDNN;Neural Network (MLP);0.94;1.0;0.97;1.0;1.0
kddcup-guess_passwd_vs_satan;SMOTECDNN;Logistic Regression;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_0;SMOTECDNN;KNN;0.75;0.81;0.78;0.64;0.66
Migraine_onevsrest_0;SMOTECDNN;Random Forest;0.91;0.93;0.92;0.88;0.88
Migraine_onevsrest_0;SMOTECDNN;Decision Tree;0.89;0.89;0.89;0.85;0.85
Migraine_onevsrest_0;SMOTECDNN;XGBoost;0.92;0.93;0.93;0.89;0.89
Migraine_onevsrest_0;SMOTECDNN;AdaBoost;0.92;0.92;0.92;0.89;0.89
Migraine_onevsrest_0;SMOTECDNN;Gradient Boosting;0.9;0.97;0.93;0.88;0.89
Migraine_onevsrest_0;SMOTECDNN;Extra Trees;0.91;1.0;0.95;0.91;0.91
Migraine_onevsrest_0;SMOTECDNN;Neural Network (MLP);0.93;0.97;0.95;0.92;0.93
Migraine_onevsrest_0;SMOTECDNN;Logistic Regression;0.89;0.93;0.91;0.87;0.87
Migraine_onevsrest_1;SMOTECDNN;KNN;0.52;0.78;0.62;0.82;0.82
Migraine_onevsrest_1;SMOTECDNN;Random Forest;0.95;1.0;0.97;0.99;0.99
Migraine_onevsrest_1;SMOTECDNN;Decision Tree;0.82;1.0;0.9;0.98;0.98
Migraine_onevsrest_1;SMOTECDNN;XGBoost;0.72;1.0;0.84;0.96;0.96
Migraine_onevsrest_1;SMOTECDNN;AdaBoost;0.82;1.0;0.9;0.98;0.98
Migraine_onevsrest_1;SMOTECDNN;Gradient Boosting;0.86;1.0;0.92;0.98;0.98
Migraine_onevsrest_1;SMOTECDNN;Extra Trees;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_1;SMOTECDNN;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_1;SMOTECDNN;Logistic Regression;0.95;1.0;0.97;0.99;0.99
Migraine_onevsrest_2;SMOTECDNN;KNN;0.3;0.43;0.35;0.63;0.68
Migraine_onevsrest_2;SMOTECDNN;Random Forest;0.56;0.71;0.62;0.83;0.84
Migraine_onevsrest_2;SMOTECDNN;Decision Tree;0.44;0.57;0.5;0.74;0.76
Migraine_onevsrest_2;SMOTECDNN;XGBoost;0.44;0.57;0.5;0.74;0.76
Migraine_onevsrest_2;SMOTECDNN;AdaBoost;0.44;0.57;0.5;0.74;0.76
Migraine_onevsrest_2;SMOTECDNN;Gradient Boosting;0.5;0.57;0.53;0.74;0.77
Migraine_onevsrest_2;SMOTECDNN;Extra Trees;0.38;0.43;0.4;0.64;0.69
Migraine_onevsrest_2;SMOTECDNN;Neural Network (MLP);0.55;0.86;0.67;0.9;0.91
Migraine_onevsrest_2;SMOTECDNN;Logistic Regression;0.55;0.86;0.67;0.9;0.91
Migraine_onevsrest_3;SMOTECDNN;KNN;1.0;0.83;0.91;0.91;0.92
Migraine_onevsrest_3;SMOTECDNN;Random Forest;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;SMOTECDNN;Decision Tree;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;SMOTECDNN;XGBoost;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;SMOTECDNN;AdaBoost;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;SMOTECDNN;Gradient Boosting;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;SMOTECDNN;Extra Trees;1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;SMOTECDNN;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
Migraine_onevsrest_3;SMOTECDNN;Logistic Regression;0.86;1.0;0.92;1.0;1.0
Migraine_onevsrest_4;SMOTECDNN;KNN;0.14;0.6;0.23;0.71;0.72
Migraine_onevsrest_4;SMOTECDNN;Random Forest;0.12;0.2;0.15;0.43;0.57
Migraine_onevsrest_4;SMOTECDNN;Decision Tree;0.33;0.6;0.43;0.75;0.77
Migraine_onevsrest_4;SMOTECDNN;XGBoost;0.25;0.6;0.35;0.74;0.76
Migraine_onevsrest_4;SMOTECDNN;AdaBoost;0.14;0.4;0.21;0.6;0.64
Migraine_onevsrest_4;SMOTECDNN;Gradient Boosting;0.23;0.6;0.33;0.74;0.75
Migraine_onevsrest_4;SMOTECDNN;Extra Trees;0.11;0.2;0.14;0.43;0.56
Migraine_onevsrest_4;SMOTECDNN;Neural Network (MLP);0.18;0.4;0.25;0.61;0.66
Migraine_onevsrest_4;SMOTECDNN;Logistic Regression;0.25;0.6;0.35;0.74;0.76
Migraine_onevsrest_5;SMOTECDNN;KNN;0.13;0.5;0.21;0.66;0.69
Migraine_onevsrest_5;SMOTECDNN;Random Forest;0.25;0.25;0.25;0.49;0.61
Migraine_onevsrest_5;SMOTECDNN;Decision Tree;0.17;0.25;0.2;0.49;0.6
Migraine_onevsrest_5;SMOTECDNN;XGBoost;0.17;0.25;0.2;0.49;0.6
Migraine_onevsrest_5;SMOTECDNN;AdaBoost;0.12;0.25;0.17;0.48;0.59
Migraine_onevsrest_5;SMOTECDNN;Gradient Boosting;0.17;0.25;0.2;0.49;0.6
Migraine_onevsrest_5;SMOTECDNN;Extra Trees;0.2;0.25;0.22;0.49;0.61
Migraine_onevsrest_5;SMOTECDNN;Neural Network (MLP);0.22;0.5;0.31;0.68;0.72
Migraine_onevsrest_5;SMOTECDNN;Logistic Regression;0.22;1.0;0.36;0.93;0.94
new-thyroid1;SMOTECDNN;KNN;1.0;1.0;1.0;1.0;1.0
new-thyroid1;SMOTECDNN;Random Forest;0.92;1.0;0.96;0.99;0.99
new-thyroid1;SMOTECDNN;Decision Tree;0.92;1.0;0.96;0.99;0.99
new-thyroid1;SMOTECDNN;XGBoost;0.92;1.0;0.96;0.99;0.99
new-thyroid1;SMOTECDNN;AdaBoost;0.92;1.0;0.96;0.99;0.99
new-thyroid1;SMOTECDNN;Gradient Boosting;0.92;1.0;0.96;0.99;0.99
new-thyroid1;SMOTECDNN;Extra Trees;1.0;1.0;1.0;1.0;1.0
new-thyroid1;SMOTECDNN;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
new-thyroid1;SMOTECDNN;Logistic Regression;1.0;1.0;1.0;1.0;1.0
newthyroid2;SMOTECDNN;KNN;0.92;1.0;0.96;0.99;0.99
newthyroid2;SMOTECDNN;Random Forest;1.0;0.82;0.9;0.9;0.91
newthyroid2;SMOTECDNN;Decision Tree;0.9;0.82;0.86;0.9;0.9
newthyroid2;SMOTECDNN;XGBoost;1.0;0.82;0.9;0.9;0.91
newthyroid2;SMOTECDNN;AdaBoost;1.0;0.82;0.9;0.9;0.91
newthyroid2;SMOTECDNN;Gradient Boosting;0.9;0.82;0.86;0.9;0.9
newthyroid2;SMOTECDNN;Extra Trees;1.0;0.91;0.95;0.95;0.95
newthyroid2;SMOTECDNN;Neural Network (MLP);1.0;1.0;1.0;1.0;1.0
newthyroid2;SMOTECDNN;Logistic Regression;0.91;0.91;0.91;0.94;0.95
Obesity_onevsrest_0;SMOTECDNN;KNN;0.66;1.0;0.79;0.96;0.96
Obesity_onevsrest_0;SMOTECDNN;Random Forest;0.81;0.99;0.89;0.98;0.98
Obesity_onevsrest_0;SMOTECDNN;Decision Tree;0.9;1.0;0.95;0.99;0.99
Obesity_onevsrest_0;SMOTECDNN;XGBoost;0.79;1.0;0.88;0.98;0.98
Obesity_onevsrest_0;SMOTECDNN;AdaBoost;0.8;1.0;0.89;0.98;0.98
Obesity_onevsrest_0;SMOTECDNN;Gradient Boosting;0.8;1.0;0.89;0.98;0.98
Obesity_onevsrest_0;SMOTECDNN;Extra Trees;0.85;0.94;0.89;0.96;0.96
Obesity_onevsrest_0;SMOTECDNN;Neural Network (MLP);0.7;1.0;0.82;0.97;0.97
