dataset;metodo;Silhouette;Davies-Bouldin;Compactness_class_1;KL_mean;JS_mean;Q_multi_attribute_similarity;mDCR
dermatology-6;SYRFD_thr8;0.15 ± 0.000;2.117 ± 0.000;13.779 ± 0.000;4.717 ± 0.000;0.144 ± 0.000;0.741 ± 0.000;0.62 ± 0.000
iris0;SYRFD_thr8;0.598 ± 0.000;0.602 ± 0.000;0.864 ± 0.000;12.653 ± 0.000;0.293 ± 0.000;0.608 ± 0.000;0.619 ± 0.000
ecoli-0_vs_1;SYRFD_thr8;0.33 ± 0.000;1.303 ± 0.000;6.262 ± 0.000;3.965 ± 0.000;0.13 ± 0.000;0.714 ± 0.000;2.103 ± 0.000
ecoli1;SYRFD_thr8;0.172 ± 0.000;2.077 ± 0.000;3.28 ± 0.000;2.508 ± 0.000;0.107 ± 0.000;0.76 ± 0.000;1.763 ± 0.000
kddcup-guess_passwd_vs_satan;SYRFD_thr8;0.532 ± 0.000;0.971 ± 0.000;15.987 ± 0.000;5.745 ± 0.000;0.188 ± 0.000;0.674 ± 0.000;0.0 ± 0.000
Migraine_onevsrest_0;SYRFD_thr8;0.128 ± 0.000;3.949 ± 0.000;31.718 ± 0.000;2.729 ± 0.000;0.083 ± 0.000;0.842 ± 0.000;5.325116328314172e+18 ± 0.000
Migraine_onevsrest_1;SYRFD_thr8;0.134 ± 0.000;2.145 ± 0.000;5.1 ± 0.000;2.06 ± 0.000;0.056 ± 0.000;0.892 ± 0.000;6.521908912666387e+18 ± 0.000
Migraine_onevsrest_2;SYRFD_thr8;0.078 ± 0.000;3.374 ± 0.000;13.283 ± 0.000;1.407 ± 0.000;0.043 ± 0.000;0.914 ± 0.000;1.0 ± 0.000
Migraine_onevsrest_3;SYRFD_thr8;0.279 ± 0.000;1.59 ± 0.000;12.124 ± 0.000;3.995 ± 0.000;0.12 ± 0.000;0.779 ± 0.000;1.581 ± 0.000
Migraine_onevsrest_4;SYRFD_thr8;0.181 ± 0.000;2.448 ± 0.000;19.01 ± 0.000;0.719 ± 0.000;0.06 ± 0.000;0.879 ± 0.000;2.0 ± 0.000
Migraine_onevsrest_5;SYRFD_thr8;0.064 ± 0.000;3.474 ± 0.000;11.589 ± 0.000;1.604 ± 0.000;0.053 ± 0.000;0.896 ± 0.000;1.0 ± 0.000
new-thyroid1;SYRFD_thr8;0.372 ± 0.000;1.293 ± 0.000;4.259 ± 0.000;9.327 ± 0.000;0.334 ± 0.000;0.47 ± 0.000;5.221732988726358e+18 ± 0.000
newthyroid2;SYRFD_thr8;0.365 ± 0.000;1.317 ± 0.000;4.557 ± 0.000;10.25 ± 0.000;0.303 ± 0.000;0.489 ± 0.000;5.238523299996355e+18 ± 0.000
Obesity_onevsrest_0;SYRFD_thr8;0.078 ± 0.000;4.346 ± 0.000;18.171 ± 0.000;1.368 ± 0.000;0.063 ± 0.000;0.866 ± 0.000;2.459 ± 0.000
Obesity_onevsrest_1;SYRFD_thr8;0.1 ± 0.000;3.667 ± 0.000;19.074 ± 0.000;0.999 ± 0.000;0.06 ± 0.000;0.87 ± 0.000;9.203690682575708e+18 ± 0.000
Obesity_onevsrest_2;SYRFD_thr8;0.074 ± 0.000;3.598 ± 0.000;13.774 ± 0.000;0.958 ± 0.000;0.069 ± 0.000;0.854 ± 0.000;9.204490647960086e+18 ± 0.000
Obesity_onevsrest_3;SYRFD_thr8;0.065 ± 0.000;4.031 ± 0.000;14.867 ± 0.000;0.965 ± 0.000;0.06 ± 0.000;0.868 ± 0.000;9.20367058020158e+18 ± 0.000
Obesity_onevsrest_4;SYRFD_thr8;0.052 ± 0.000;4.016 ± 0.000;13.07 ± 0.000;0.97 ± 0.000;0.048 ± 0.000;0.888 ± 0.000;9.203690682575708e+18 ± 0.000
Obesity_onevsrest_5;SYRFD_thr8;0.085 ± 0.000;3.042 ± 0.000;10.608 ± 0.000;2.765 ± 0.000;0.1 ± 0.000;0.807 ± 0.000;9.204490647960083e+18 ± 0.000
Obesity_onevsrest_6;SYRFD_thr8;0.215 ± 0.000;1.955 ± 0.000;1.789 ± 0.000;3.652 ± 0.000;0.1 ± 0.000;0.815 ± 0.000;0.162 ± 0.000
page-blocks-1-3_vs_4;SYRFD_thr8;0.273 ± 0.000;1.685 ± 0.000;4.409 ± 0.000;14.128 ± 0.000;0.448 ± 0.000;0.397 ± 0.000;1.3453464170855324e+18 ± 0.000
pima;SYRFD_thr8;0.071 ± 0.000;3.785 ± 0.000;8.186 ± 0.000;3.335 ± 0.000;0.125 ± 0.000;0.699 ± 0.000;0.376 ± 0.000
transfusion;SYRFD_thr8;0.178 ± 0.000;2.418 ± 0.000;5.972 ± 0.000;2.852 ± 0.000;0.121 ± 0.000;0.717 ± 0.000;9.223372036854768e+18 ± 0.000
vowel0;SYRFD_thr8;0.166 ± 0.000;2.107 ± 0.000;7.87 ± 0.000;3.255 ± 0.000;0.14 ± 0.000;0.696 ± 0.000;6.247 ± 0.000
yeast1;SYRFD_thr8;0.048 ± 0.000;3.812 ± 0.000;4.942 ± 0.000;1.549 ± 0.000;0.08 ± 0.000;0.805 ± 0.000;0.885 ± 0.000
yeast3;SYRFD_thr8;0.136 ± 0.000;2.217 ± 0.000;3.299 ± 0.000;2.93 ± 0.000;0.104 ± 0.000;0.775 ± 0.000;0.976 ± 0.000
