metodo;Silhouette;Davies-Bouldin;Compactness_class_1;KL_mean;JS_mean;Q_multi_attribute_similarity;KS_mean;Chi2_mean;WD_mean;pMSE;Precision;Recall;Density;Coverage;mDCR;MAD_mean;MMD;PCA_WD_mean;PCA_explained_var_cum;Moment_mean_diff;Moment_var_diff;Moment_skew_diff;Moment_kurt_diff;FE_real_mean;FE_syn_mean;FE_ratio_mean;Coverage_div
gpt-oss_20b-cloud__confidence;0.0804 +/- 0.1097;4.0957 +/- 1.7533;9.4054 +/- 6.7882;0.0559 +/- 0.0494;0.016 +/- 0.015;0.9609 +/- 0.0289;0.0767 +/- 0.0474;0.0229 +/- 0.0166;0.1494 +/- 0.107;0.0099 +/- 0.0089;0.9366 +/- 0.1;1.0 +/- 0.0;1.1247 +/- 0.228;1.0 +/- 0.0;0.0 +/- 0.0;0.1051 +/- 0.0998;0.0937 +/- 0.0591;0.2107 +/- 0.0963;0.7065 +/- 0.2117;0.1051 +/- 0.0998;0.4317 +/- 0.562;0.7026 +/- 0.4487;8.6989 +/- 8.3997;1.8626 +/- 0.6466;1.937 +/- 0.5901;0.9979 +/- 0.2033;1.0 +/- 0.0
gpt-oss_20b-cloud__decision_tree;0.1022 +/- 0.1145;4.2723 +/- 2.0325;14.1562 +/- 10.9183;0.0612 +/- 0.0399;0.0184 +/- 0.0123;0.956 +/- 0.0297;0.0744 +/- 0.0342;0.0234 +/- 0.0131;0.2236 +/- 0.221;0.0099 +/- 0.006;0.904 +/- 0.0597;1.0 +/- 0.0;1.0284 +/- 0.1784;1.0 +/- 0.0;0.0 +/- 0.0;0.1932 +/- 0.2232;0.092 +/- 0.0434;0.3696 +/- 0.6042;0.6975 +/- 0.2105;0.1932 +/- 0.2232;44.5475 +/- 222.8856;0.7393 +/- 0.3907;7.8539 +/- 7.5224;1.5768 +/- 0.6577;1.7834 +/- 0.6441;478815.8821 +/- 1154162.3982;1.0 +/- 0.0
gpt-oss_20b-cloud__distribution_guidance;0.0692 +/- 0.1097;4.6606 +/- 2.208;9.6895 +/- 6.6319;0.0448 +/- 0.0323;0.0124 +/- 0.0094;0.9672 +/- 0.0225;0.0706 +/- 0.0357;0.0196 +/- 0.0121;0.1727 +/- 0.1849;0.0085 +/- 0.0066;0.9431 +/- 0.0838;1.0 +/- 0.0;1.1151 +/- 0.205;1.0 +/- 0.0;0.0 +/- 0.0;0.1298 +/- 0.186;0.0899 +/- 0.0459;0.3077 +/- 0.5308;0.7111 +/- 0.213;0.1298 +/- 0.186;32.1881 +/- 158.7703;0.6654 +/- 0.4571;7.6313 +/- 7.8487;1.8526 +/- 0.6739;1.8844 +/- 0.6404;1137.1225 +/- 5680.7023;1.0 +/- 0.0
gpt-oss_20b-cloud__ensemble;0.1065 +/- 0.1077;4.4836 +/- 2.4534;13.156 +/- 8.7585;0.0409 +/- 0.0325;0.0119 +/- 0.0096;0.9662 +/- 0.0264;0.0588 +/- 0.0384;0.0162 +/- 0.014;0.2006 +/- 0.2531;0.0068 +/- 0.0053;0.9205 +/- 0.0797;1.0 +/- 0.0;1.089 +/- 0.1721;1.0 +/- 0.0;0.0 +/- 0.0;0.1675 +/- 0.2472;0.0692 +/- 0.0562;0.3794 +/- 0.6976;0.7142 +/- 0.2331;0.1675 +/- 0.2472;67.8361 +/- 285.4492;0.7398 +/- 0.5792;8.1867 +/- 12.0413;1.8064 +/- 0.6669;1.9393 +/- 0.7083;100084.3802 +/- 420444.8376;1.0 +/- 0.0
gpt-oss_20b-cloud__hierarchical;0.0862 +/- 0.1148;4.2293 +/- 2.0774;10.6245 +/- 7.579;0.0497 +/- 0.0445;0.0142 +/- 0.0135;0.9638 +/- 0.0283;0.0748 +/- 0.0455;0.0206 +/- 0.0155;0.2005 +/- 0.2195;0.0095 +/- 0.0098;0.9367 +/- 0.0976;1.0 +/- 0.0;1.094 +/- 0.1944;1.0 +/- 0.0;0.0 +/- 0.0;0.1635 +/- 0.2148;0.0961 +/- 0.0611;0.3885 +/- 0.6063;0.7184 +/- 0.2107;0.1635 +/- 0.2148;47.705 +/- 176.002;0.9275 +/- 0.9616;21.2536 +/- 46.5864;1.8558 +/- 0.6522;1.9432 +/- 0.6063;94704.6474 +/- 436464.5883;1.0 +/- 0.0
gpt-oss_20b-cloud__react;0.0783 +/- 0.1025;4.6265 +/- 2.2602;10.8882 +/- 8.0555;0.0414 +/- 0.0312;0.0118 +/- 0.0095;0.9662 +/- 0.0226;0.0634 +/- 0.0302;0.0172 +/- 0.0107;0.1586 +/- 0.1669;0.0078 +/- 0.0061;0.9405 +/- 0.0875;1.0 +/- 0.0;1.0938 +/- 0.2062;1.0 +/- 0.0;0.0 +/- 0.0;0.1224 +/- 0.1646;0.0822 +/- 0.0427;0.2849 +/- 0.4608;0.7261 +/- 0.2157;0.1224 +/- 0.1646;25.6386 +/- 121.2918;0.8317 +/- 1.0676;21.6069 +/- 58.7872;1.9321 +/- 0.6198;1.9976 +/- 0.588;258032.1181 +/- 915891.392;1.0 +/- 0.0
gpt-oss_20b-cloud__schema_constraints;0.0676 +/- 0.095;4.7087 +/- 2.1437;10.7003 +/- 7.9168;0.0399 +/- 0.0261;0.0112 +/- 0.0079;0.9671 +/- 0.0222;0.0634 +/- 0.0283;0.0172 +/- 0.0097;0.2283 +/- 0.4976;0.0082 +/- 0.0077;0.926 +/- 0.1143;1.0 +/- 0.0;1.0848 +/- 0.2108;1.0 +/- 0.0;0.0 +/- 0.0;0.1893 +/- 0.4987;0.0822 +/- 0.0556;0.4977 +/- 1.5088;0.7261 +/- 0.2157;0.1893 +/- 0.4987;12.2339 +/- 54.8607;0.8955 +/- 1.229;24.5445 +/- 67.5543;1.8418 +/- 0.6979;1.8942 +/- 0.6757;134245.1079 +/- 641642.5542;1.0 +/- 0.0
gpt-oss_20b-cloud__self_consistency;0.0769 +/- 0.1088;4.6461 +/- 2.3693;10.6391 +/- 6.9976;0.0489 +/- 0.0453;0.014 +/- 0.0137;0.9649 +/- 0.027;0.072 +/- 0.0458;0.0209 +/- 0.0174;0.1871 +/- 0.2593;0.0102 +/- 0.0091;0.9227 +/- 0.1025;1.0 +/- 0.0;1.0799 +/- 0.2003;1.0 +/- 0.0;0.0 +/- 0.0;0.1495 +/- 0.2567;0.0934 +/- 0.0646;0.2998 +/- 0.4444;0.7061 +/- 0.2134;0.1495 +/- 0.2567;2.4689 +/- 7.4339;0.9384 +/- 1.2984;20.4539 +/- 46.6789;1.7273 +/- 0.6405;1.8089 +/- 0.637;55153.6478 +/- 257087.9919;1.0 +/- 0.0
llama;0.2113 +/- 0.1268;2.2875 +/- 1.0167;14.5466 +/- 11.8597;3.3084 +/- 2.9373;0.1517 +/- 0.0858;0.7174 +/- 0.1297;0.408 +/- 0.1591;0.2617 +/- 0.1353;9.7532 +/- 24.5545;0.1634 +/- 0.0487;0.6066 +/- 0.3275;0.2894 +/- 0.2233;0.4317 +/- 0.2906;0.1301 +/- 0.0892;37.9663 +/- 105.5855;9.6585 +/- 24.5312;0.5775 +/- 0.1825;27.9044 +/- 75.8614;0.7033 +/- 0.2039;9.6585 +/- 24.5312;68201.1384 +/- 356507.337;2.2133 +/- 1.103;14.971 +/- 14.1015;1.2986 +/- 0.7257;1.3239 +/- 0.6841;24797469.0286 +/- 112197222.389;0.0644 +/- 0.0848
tabdiff;0.166 +/- 0.138;2.9481 +/- 1.5954;18.2244 +/- 16.8665;2.6804 +/- 2.6372;0.1107 +/- 0.0702;0.7783 +/- 0.1116;0.2743 +/- 0.1517;0.1545 +/- 0.0869;0.6123 +/- 0.3146;0.1138 +/- 0.065;0.8395 +/- 0.1888;0.5233 +/- 0.323;0.6473 +/- 0.2537;0.2633 +/- 0.1444;17.2468 +/- 71.0886;0.5626 +/- 0.3267;0.383 +/- 0.18;1.011 +/- 0.9638;0.7033 +/- 0.2039;0.5626 +/- 0.3267;1.0481 +/- 0.9108;1.1651 +/- 0.9563;7.9626 +/- 6.7567;1.643 +/- 0.5959;1.6199 +/- 0.626;1.0946 +/- 0.5907;0.1517 +/- 0.1872
tvae;0.205 +/- 0.1277;2.4544 +/- 1.1329;8.1326 +/- 7.4561;4.0374 +/- 2.3534;0.1583 +/- 0.0829;0.7121 +/- 0.1277;0.4992 +/- 0.1039;0.238 +/- 0.1205;0.6302 +/- 0.254;0.1488 +/- 0.0638;0.8923 +/- 0.1502;0.249 +/- 0.246;1.0165 +/- 0.4795;0.1807 +/- 0.1234;18.4708 +/- 78.2063;0.5702 +/- 0.2591;0.4975 +/- 0.1617;1.0133 +/- 0.8107;0.7033 +/- 0.2039;0.5702 +/- 0.2591;0.7073 +/- 0.1695;2.359 +/- 1.2182;22.5542 +/- 25.7926;1.3888 +/- 0.7221;1.3862 +/- 0.6202;113308220163.4296 +/- 217392271414.9753;0.0851 +/- 0.1137
