dataset;metodo;Silhouette;Davies-Bouldin;Compactness_class_0;Compactness_class_1;KL_feature_0;KL_feature_1;KL_feature_2;KL_feature_3;KL_feature_4;KL_feature_5;KL_feature_6;KL_mean;JS_feature_0;JS_feature_1;JS_feature_2;JS_feature_3;JS_feature_4;JS_feature_5;JS_feature_6;JS_mean;Q_multi_attribute_similarity;JS_multi_attribute_mean;n_pairs_evaluated;mDCR;KL_feature_7;KL_feature_8;KL_feature_9;KL_feature_10;KL_feature_11;KL_feature_12;JS_feature_7;JS_feature_8;JS_feature_9;JS_feature_10;JS_feature_11;JS_feature_12;KL_feature_13;KL_feature_14;KL_feature_15;KL_feature_16;KL_feature_17;KL_feature_18;KL_feature_19;KL_feature_20;KL_feature_21;KL_feature_22;KL_feature_23;KL_feature_24;KL_feature_25;KL_feature_26;KL_feature_27;KL_feature_28;KL_feature_29;KL_feature_30;KL_feature_31;KL_feature_32;KL_feature_33;JS_feature_13;JS_feature_14;JS_feature_15;JS_feature_16;JS_feature_17;JS_feature_18;JS_feature_19;JS_feature_20;JS_feature_21;JS_feature_22;JS_feature_23;JS_feature_24;JS_feature_25;JS_feature_26;JS_feature_27;JS_feature_28;JS_feature_29;JS_feature_30;JS_feature_31;JS_feature_32;JS_feature_33;KL_feature_34;KL_feature_35;KL_feature_36;KL_feature_37;KL_feature_38;JS_feature_34;JS_feature_35;JS_feature_36;JS_feature_37;JS_feature_38
dermatology-6;SMOTECDNN;0.123;1.605;33.713;10.475;0.667;3.611;3.521;10.217;8.486;3.988;21.704;5.632;0.075;0.073;0.198;0.202;0.16;0.071;0.545;0.153;0.728;0.272;561;0.679;3.841;1.06;4.33;0.012;4.03;2.475;0.069;0.216;0.086;0.003;0.072;0.043;7.825;2.845;4.061;5.198;2.855;2.589;6.387;9.706;6.323;4.015;4.615;4.073;5.506;4.158;2.593;4.144;1.41;22.59;3.801;4.48;14.364;0.145;0.051;0.188;0.188;0.072;0.159;0.121;0.193;0.12;0.072;0.084;0.073;0.1;0.074;0.107;0.074;0.339;0.584;0.124;0.08;0.429;;;;;;;;;;
iris0;SMOTECDNN;0.603;0.595;1.707;0.849;12.154;8.439;13.957;14.622;;;;12.293;0.279;0.171;0.321;0.326;;;;0.274;0.65;0.35;6;0.329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecoli-0_vs_1;SMOTECDNN;0.352;1.205;2.484;5.845;1.982;3.034;0.112;0.0;0.759;13.41;7.529;3.832;0.101;0.073;0.009;0.0;0.077;0.291;0.241;0.113;0.757;0.243;21;0.473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecoli1;SMOTECDNN;0.22;1.743;8.182;2.832;0.083;4.901;0.665;0.057;2.058;11.844;6.008;3.66;0.022;0.104;0.019;0.001;0.132;0.288;0.259;0.118;0.764;0.236;21;0.359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kddcup-guess_passwd_vs_satan;SMOTECDNN;0.55;0.841;21.755;12.456;0.064;2.251;20.781;21.054;0.006;0.018;0.0;5.919;0.022;0.038;0.62;0.599;0.0;0.006;0.0;0.195;0.666;0.334;741;0.0;0.0;0.0;23.683;3.625;0.081;0.0;0.0;0.0;0.622;0.574;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;19.591;0.295;2.954;0.309;4.569;0.669;23.372;22.752;0.011;24.173;22.992;0.297;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.607;0.007;0.339;0.062;0.443;0.103;0.586;0.553;0.0;0.622;0.577;0.04;0.011;6.872;0.396;3.487;26.518;0.0;0.252;0.084;0.198;0.635
Migraine_onevsrest_0;SMOTECDNN;0.138;4.147;7.029;33.223;2.295;0.033;0.223;0.098;0.098;0.041;0.015;0.281;0.082;0.009;0.045;0.028;0.028;0.011;0.005;0.017;0.959;0.041;210;0.816;0.01;0.0;0.0;0.867;1.631;0.008;0.002;0.0;0.0;0.104;0.029;0.002;0.011;0.002;0.321;0.101;0.001;0.001;0.155;0.0;;;;;;;;;;;;;;0.003;0.0;0.006;0.002;0.0;0.0;0.003;0.0;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_1;SMOTECDNN;0.035;2.336;22.673;5.078;0.705;0.029;0.539;1.136;1.136;9.401;0.049;1.998;0.069;0.007;0.125;0.019;0.019;0.176;0.001;0.052;0.9;0.1;210;1.0;0.028;0.0;0.0;18.041;4.815;0.84;0.007;0.0;0.0;0.419;0.084;0.014;2.472;1.196;0.321;0.101;0.321;0.378;0.155;0.293;;;;;;;;;;;;;;0.04;0.02;0.006;0.002;0.006;0.006;0.003;0.06;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_2;SMOTECDNN;0.054;3.192;19.089;14.164;8.883;3.757;4.148;1.136;1.136;1.561;0.049;2.142;0.231;0.066;0.08;0.019;0.019;0.132;0.001;0.052;0.896;0.104;210;1.225;0.118;0.0;0.0;2.715;4.815;0.017;0.026;0.0;0.0;0.115;0.084;0.005;0.002;1.196;0.321;0.101;0.321;0.378;0.155;14.161;;;;;;;;;;;;;;0.0;0.02;0.006;0.002;0.006;0.006;0.003;0.276;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_3;SMOTECDNN;0.297;1.395;16.156;14.132;1.509;3.75;0.593;23.777;23.777;22.112;0.049;3.952;0.064;0.064;0.03;0.588;0.588;0.588;0.001;0.108;0.795;0.205;210;1.414;0.127;0.0;0.0;5.044;0.131;0.84;0.028;0.0;0.0;0.236;0.034;0.014;0.002;0.01;0.321;0.101;0.321;0.378;0.155;0.0;;;;;;;;;;;;;;0.0;0.003;0.006;0.002;0.006;0.006;0.003;0.0;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_4;SMOTECDNN;0.226;3.136;14.822;33.024;4.24;0.015;4.146;1.136;1.136;9.401;0.049;1.649;0.111;0.004;0.079;0.019;0.019;0.176;0.001;0.043;0.912;0.088;210;1.414;7.216;0.0;0.0;0.512;4.815;0.84;0.125;0.0;0.0;0.019;0.084;0.014;0.447;0.037;0.081;0.101;0.176;0.005;0.155;0.112;;;;;;;;;;;;;;0.121;0.01;0.025;0.002;0.055;0.001;0.003;0.026;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_5;SMOTECDNN;0.031;3.44;19.16;13.22;11.74;3.754;6.951;1.136;1.136;1.305;0.049;2.74;0.311;0.065;0.139;0.019;0.019;0.086;0.001;0.059;0.884;0.116;210;1.0;7.216;0.0;0.0;12.164;1.627;0.005;0.125;0.0;0.0;0.247;0.028;0.001;0.061;0.0;0.321;0.101;0.321;0.378;0.155;9.13;;;;;;;;;;;;;;0.017;0.0;0.006;0.002;0.006;0.006;0.003;0.163;;;;;;;;;;;;;;;;;;;;;;;
new-thyroid1;SMOTECDNN;0.358;1.109;3.872;2.769;4.334;12.78;6.275;4.999;11.755;;;8.029;0.256;0.376;0.29;0.139;0.37;;;0.286;0.534;0.466;10;0.683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
newthyroid2;SMOTECDNN;0.374;1.069;3.982;2.51;1.416;16.055;6.357;4.858;11.774;;;8.092;0.219;0.452;0.306;0.105;0.379;;;0.292;0.524;0.476;10;0.677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_0;SMOTECDNN;0.099;3.136;15.759;13.254;0.072;2.492;0.976;12.893;0.319;0.029;0.097;1.258;0.018;0.164;0.074;0.405;0.084;0.008;0.024;0.061;0.867;0.133;120;0.278;0.042;0.644;0.432;0.273;0.008;0.843;0.009;0.05;0.007;0.042;0.002;0.039;0.092;0.734;0.177;;;;;;;;;;;;;;;;;;;0.023;0.022;0.007;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_1;SMOTECDNN;0.075;3.701;14.939;15.146;0.023;1.212;0.192;7.371;0.519;0.196;0.058;0.645;0.006;0.072;0.021;0.248;0.132;0.054;0.013;0.044;0.906;0.094;120;1.527;0.021;0.067;0.005;0.041;0.045;0.033;0.005;0.018;0.001;0.009;0.008;0.008;0.042;0.167;0.321;;;;;;;;;;;;;;;;;;;0.01;0.038;0.054;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_2;SMOTECDNN;0.03;5.727;16.95;13.747;0.032;0.511;0.613;9.027;0.041;0.0;0.423;0.767;0.008;0.047;0.033;0.242;0.011;0.0;0.073;0.035;0.914;0.086;120;0.565;0.152;0.651;0.432;0.06;0.01;0.102;0.035;0.039;0.007;0.013;0.003;0.02;0.095;0.036;0.084;;;;;;;;;;;;;;;;;;;0.017;0.006;0.008;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_3;SMOTECDNN;0.028;5.509;18.118;12.143;0.033;0.43;0.506;8.585;0.043;0.093;0.319;0.86;0.008;0.057;0.082;0.24;0.009;0.026;0.059;0.042;0.905;0.095;120;0.66;0.837;1.015;0.432;0.056;0.979;0.113;0.052;0.043;0.007;0.012;0.016;0.015;0.053;0.091;0.181;;;;;;;;;;;;;;;;;;;0.009;0.021;0.009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_4;SMOTECDNN;0.028;5.407;18.652;11.469;0.0;0.701;0.195;6.677;0.152;0.051;0.533;0.741;0.0;0.082;0.03;0.204;0.028;0.01;0.083;0.037;0.913;0.087;120;0.421;0.832;0.975;0.432;0.003;0.979;0.029;0.05;0.039;0.007;0.001;0.016;0.006;0.008;0.116;0.177;;;;;;;;;;;;;;;;;;;0.002;0.027;0.007;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_5;SMOTECDNN;0.097;2.766;19.092;8.376;1.418;5.441;3.138;11.295;0.357;0.096;0.273;1.936;0.184;0.212;0.124;0.332;0.049;0.018;0.055;0.076;0.846;0.154;120;0.213;0.748;1.155;0.002;0.202;0.979;3.917;0.03;0.052;0.0;0.025;0.016;0.067;1.176;0.705;0.069;;;;;;;;;;;;;;;;;;;0.039;0.014;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_6;SMOTECDNN;0.168;1.966;18.738;1.624;11.894;5.36;3.966;2.589;16.28;7.733;3.23;5.191;0.218;0.17;0.065;0.042;0.335;0.14;0.057;0.104;0.808;0.192;91;0.018;0.432;1.516;0.979;3.923;1.47;7.69;0.007;0.027;0.016;0.068;0.085;0.135;5.618;;;;;;;;;;;;;;;;;;;;;0.097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
page-blocks-1-3_vs_4;SMOTECDNN;0.208;1.729;4.874;6.461;17.482;0.268;11.253;8.569;6.812;12.547;3.001;8.562;0.537;0.072;0.444;0.227;0.184;0.466;0.443;0.339;0.452;0.548;21;63.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pima;SMOTECDNN;0.076;3.536;6.687;8.442;0.397;1.065;1.126;0.103;1.889;1.265;0.521;0.896;0.042;0.089;0.052;0.02;0.076;0.075;0.041;0.059;0.778;0.222;28;0.375;0.801;;;;;;0.077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
transfusion;SMOTECDNN;0.077;2.915;3.392;4.248;2.722;1.007;0.729;0.118;;;;1.144;0.095;0.135;0.136;0.027;;;;0.098;0.731;0.269;6;2.236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vowel0;SMOTECDNN;0.137;2.586;9.33;10.036;0.001;0.028;0.015;0.328;9.79;7.909;5.332;2.503;0.0;0.007;0.004;0.08;0.356;0.238;0.179;0.115;0.686;0.314;55;0.488;0.876;0.641;1.764;0.848;;;0.124;0.108;0.075;0.093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yeast1;SMOTECDNN;0.039;3.916;9.423;5.479;0.99;1.001;1.54;0.862;0.011;0.196;1.146;0.873;0.046;0.034;0.054;0.039;0.003;0.004;0.079;0.05;0.843;0.157;28;0.387;1.238;;;;;;0.141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yeast3;SMOTECDNN;0.116;2.433;10.233;3.249;2.613;0.483;13.516;1.934;0.193;0.196;1.672;2.717;0.076;0.022;0.381;0.055;0.004;0.004;0.097;0.09;0.785;0.215;28;0.398;1.126;;;;;;0.082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abalone9-18;SYRFD_thr2;0.114;2.121;6.631;5.01;0.008;2.715;2.356;5.793;1.417;1.164;3.606;2.437;0.002;0.088;0.102;0.227;0.075;0.078;0.213;0.112;0.763;0.237;21;2.684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cleveland-0_vs_4;SYRFD_thr2;0.377;1.132;7.893;7.449;10.28;0.091;6.997;16.806;13.18;0.011;12.542;8.612;0.259;0.021;0.183;0.523;0.407;0.003;0.259;0.276;;;78;1.4317450110379848e+18;17.394;0.058;14.769;15.205;2.795;1.831;0.574;0.016;0.369;0.317;0.356;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dermatology-6;SYRFD_thr2;0.13;2.308;37.74;18.024;0.315;3.645;2.886;4.443;8.486;3.988;21.707;5.144;0.027;0.083;0.084;0.114;0.16;0.071;0.546;0.148;0.735;0.265;561;2.558103139350818e+18;3.841;16.109;0.975;0.17;4.03;2.475;0.069;0.347;0.035;0.047;0.072;0.043;3.612;2.845;0.605;0.974;0.966;2.168;5.483;8.466;6.323;1.827;4.615;3.429;5.506;4.158;0.465;4.144;2.33;22.582;0.51;4.416;16.405;0.073;0.051;0.121;0.105;0.156;0.102;0.115;0.169;0.12;0.032;0.084;0.069;0.1;0.074;0.118;0.074;0.458;0.58;0.105;0.108;0.529;;;;;;;;;;
iris0;SYRFD_thr2;0.596;0.609;1.781;0.876;12.21;5.338;13.957;14.622;;;;11.532;0.296;0.15;0.321;0.326;;;;0.273;0.633;0.367;6;0.548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecoli-0_vs_1;SYRFD_thr2;0.333;1.289;2.453;6.201;3.258;3.903;0.112;0.0;2.394;13.515;4.309;3.927;0.103;0.249;0.009;0.0;0.11;0.327;0.114;0.13;0.708;0.292;21;2.054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecoli1;SYRFD_thr2;0.177;2.033;8.439;3.058;3.376;5.867;0.657;0.057;2.332;7.742;3.888;3.417;0.127;0.172;0.016;0.001;0.081;0.235;0.155;0.112;0.76;0.24;21;1.755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kddcup-guess_passwd_vs_satan;SYRFD_thr2;0.568;0.733;24.14;7.848;0.035;2.251;20.781;23.237;0.006;0.011;0.0;6.844;0.001;0.038;0.62;0.625;0.0;0.0;0.0;0.197;0.663;0.337;741;0.0;0.0;0.0;23.68;24.403;0.081;0.0;0.0;0.0;0.62;0.623;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;19.591;0.295;3.872;2.387;5.316;5.086;23.372;22.752;0.011;24.173;22.992;1.541;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.607;0.007;0.374;0.052;0.48;0.093;0.586;0.553;0.0;0.622;0.577;0.075;0.011;6.634;2.606;5.275;26.517;0.0;0.189;0.126;0.186;0.628
Migraine_onevsrest_0;SYRFD_thr2;0.142;3.961;4.859;33.692;17.616;1.403;1.595;1.136;1.136;0.478;0.049;1.433;0.551;0.258;0.24;0.019;0.019;0.088;0.001;0.076;0.853;0.147;210;5.325116328314172e+18;0.337;0.0;0.0;0.977;0.137;0.84;0.062;0.0;0.0;0.14;0.031;0.014;2.472;0.012;0.321;0.101;0.321;0.378;0.155;0.623;;;;;;;;;;;;;;0.04;0.003;0.006;0.002;0.006;0.006;0.003;0.104;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_1;SYRFD_thr2;0.129;2.24;25.303;6.237;3.946;0.334;10.41;1.136;1.136;9.401;0.049;2.626;0.102;0.09;0.305;0.019;0.019;0.176;0.001;0.063;0.878;0.122;210;6.521908912666387e+18;0.066;0.0;0.0;18.041;4.815;0.84;0.017;0.0;0.0;0.419;0.084;0.014;2.472;1.196;0.321;0.101;0.321;0.378;0.155;0.018;;;;;;;;;;;;;;0.04;0.02;0.006;0.002;0.006;0.006;0.003;0.005;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_2;SYRFD_thr2;0.146;2.829;17.895;17.106;8.814;0.078;1.829;1.136;1.136;1.14;0.049;1.458;0.21;0.023;0.081;0.019;0.019;0.038;0.001;0.044;0.912;0.088;210;6.521908912666391e+18;0.024;0.0;0.0;0.77;0.023;0.176;0.006;0.0;0.0;0.077;0.007;0.053;0.151;0.162;0.321;0.101;0.321;0.06;0.155;14.161;;;;;;;;;;;;;;0.042;0.047;0.006;0.002;0.006;0.018;0.003;0.276;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_3;SYRFD_thr2;0.323;1.475;15.653;13.799;6.859;0.089;3.395;23.777;23.777;22.112;0.049;4.23;0.197;0.03;0.087;0.588;0.588;0.588;0.001;0.129;0.763;0.237;210;6.521908912666391e+18;0.072;0.0;0.0;5.957;0.288;0.84;0.018;0.0;0.0;0.395;0.086;0.014;0.217;0.059;0.321;0.101;0.321;0.378;0.155;0.069;;;;;;;;;;;;;;0.06;0.01;0.006;0.002;0.006;0.006;0.003;0.017;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_4;SYRFD_thr2;0.261;2.164;12.227;22.978;11.65;0.368;6.963;1.136;1.136;1.594;0.049;1.369;0.355;0.11;0.143;0.019;0.019;0.049;0.001;0.079;0.844;0.156;210;6.521908912666391e+18;0.001;0.0;0.0;0.214;1.759;0.84;0.0;0.0;0.0;0.057;0.065;0.014;1.281;0.376;0.457;0.097;0.385;0.228;0.116;0.108;;;;;;;;;;;;;;0.295;0.109;0.14;0.031;0.119;0.071;0.037;0.027;;;;;;;;;;;;;;;;;;;;;;;
Migraine_onevsrest_5;SYRFD_thr2;0.101;3.06;20.849;12.923;9.162;3.794;5.279;1.136;1.136;1.403;0.049;1.62;0.304;0.076;0.143;0.019;0.019;0.115;0.001;0.057;0.888;0.112;210;1.301;0.038;0.0;0.0;0.769;0.172;0.391;0.01;0.0;0.0;0.086;0.054;0.116;0.187;0.099;0.321;0.101;0.321;0.378;0.155;9.13;;;;;;;;;;;;;;0.052;0.029;0.006;0.002;0.006;0.006;0.003;0.163;;;;;;;;;;;;;;;;;;;;;;;
new-thyroid1;SYRFD_thr2;0.371;1.3;3.198;4.229;14.111;16.786;17.417;3.257;15.558;;;13.426;0.441;0.471;0.503;0.113;0.402;;;0.386;0.422;0.578;10;7.384645611747811e+18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
newthyroid2;SYRFD_thr2;0.371;1.319;3.201;4.31;11.685;18.281;10.683;4.968;11.776;;;11.479;0.324;0.544;0.275;0.133;0.379;;;0.331;0.451;0.549;10;7.408390697662306e+18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_0;SYRFD_thr2;0.12;3.241;11.528;19.198;0.003;8.146;0.769;13.946;0.026;0.184;0.123;1.636;0.001;0.224;0.035;0.411;0.007;0.028;0.031;0.07;0.844;0.156;120;9.203690682575712e+18;0.13;0.409;0.046;0.309;0.129;0.938;0.039;0.104;0.006;0.063;0.038;0.064;0.091;0.698;0.235;;;;;;;;;;;;;;;;;;;0.025;0.012;0.025;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_1;SYRFD_thr2;0.169;2.738;8.368;22.836;0.001;7.47;0.475;13.498;0.202;0.36;0.149;1.461;0.0;0.214;0.063;0.386;0.054;0.098;0.025;0.07;0.84;0.16;120;1.3015984187185455e+19;0.081;0.122;0.032;0.025;0.074;0.319;0.017;0.034;0.005;0.006;0.011;0.076;0.325;0.087;0.157;;;;;;;;;;;;;;;;;;;0.08;0.02;0.036;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_2;SYRFD_thr2;0.128;2.763;13.819;15.511;0.12;10.206;0.452;13.924;0.196;0.057;0.139;1.88;0.028;0.284;0.036;0.423;0.034;0.015;0.027;0.087;0.817;0.183;120;1.301711550908147e+19;0.22;0.214;0.432;1.148;0.135;0.116;0.045;0.032;0.007;0.194;0.014;0.023;0.129;2.222;0.376;;;;;;;;;;;;;;;;;;;0.031;0.132;0.069;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_3;SYRFD_thr2;0.116;2.885;13.671;15.952;0.001;5.744;0.527;12.765;0.634;0.055;0.161;1.523;0.0;0.174;0.064;0.41;0.06;0.015;0.029;0.081;0.824;0.176;120;1.3015955758135327e+19;0.462;0.394;0.432;1.311;0.135;0.851;0.107;0.022;0.007;0.16;0.014;0.044;0.237;0.352;0.316;;;;;;;;;;;;;;;;;;;0.059;0.083;0.052;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_4;SYRFD_thr2;0.104;2.979;14.745;14.657;0.041;11.562;0.398;11.727;3.966;2.589;0.137;2.101;0.01;0.311;0.047;0.318;0.065;0.042;0.025;0.066;0.845;0.155;120;1.3015984187185455e+19;0.751;0.706;0.044;0.163;0.979;0.169;0.034;0.046;0.006;0.047;0.016;0.032;0.038;0.036;0.315;;;;;;;;;;;;;;;;;;;0.008;0.005;0.051;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_5;SYRFD_thr2;0.123;2.467;17.858;9.11;11.691;13.281;3.168;12.969;3.966;0.45;0.862;3.215;0.214;0.39;0.109;0.417;0.065;0.04;0.113;0.109;0.786;0.214;120;1.301711550908146e+19;1.075;0.824;0.045;0.132;0.979;1.38;0.099;0.053;0.006;0.019;0.016;0.113;0.158;0.103;0.357;;;;;;;;;;;;;;;;;;;0.017;0.017;0.065;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obesity_onevsrest_6;SYRFD_thr2;0.209;2.008;18.307;3.984;2.792;5.289;3.966;0.262;16.28;7.733;1.273;3.129;0.215;0.163;0.065;0.033;0.335;0.14;0.055;0.099;0.817;0.183;91;0.126;0.014;0.195;0.979;1.059;1.421;1.714;0.003;0.023;0.016;0.056;0.08;0.123;0.832;;;;;;;;;;;;;;;;;;;;;0.083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
page-blocks-1-3_vs_4;SYRFD_thr2;0.335;1.397;5.403;4.506;19.536;9.849;13.11;8.569;15.61;14.02;18.197;14.127;0.633;0.28;0.508;0.227;0.354;0.511;0.622;0.448;0.395;0.605;21;1.9026071491324032e+18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pima;SYRFD_thr2;0.169;2.254;2.537;12.0;9.705;14.209;14.538;10.942;7.18;16.407;1.027;11.202;0.395;0.434;0.411;0.333;0.208;0.486;0.044;0.347;;;28;1.506169362512931e+18;15.613;;;;;;0.464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
transfusion;SYRFD_thr2;0.222;2.154;1.742;5.721;3.095;0.72;0.535;2.849;;;;1.8;0.152;0.055;0.055;0.105;;;;0.092;0.765;0.235;6;9.223372036854772e+18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vowel0;SYRFD_thr2;0.213;2.048;6.485;13.49;10.815;14.643;10.791;1.348;7.868;7.938;5.591;5.894;0.198;0.385;0.197;0.12;0.376;0.234;0.193;0.181;0.635;0.365;55;3.08807489999773e+19;0.737;0.41;3.477;1.211;;;0.024;0.038;0.135;0.087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yeast1;SYRFD_thr2;0.047;3.829;9.851;4.988;1.628;2.262;2.995;1.77;0.199;0.196;1.416;1.469;0.106;0.105;0.136;0.105;0.006;0.004;0.079;0.08;0.808;0.192;28;0.909;1.29;;;;;;0.098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yeast3;SYRFD_thr2;0.137;2.208;9.933;3.331;3.364;0.952;15.789;2.643;0.009;0.196;1.816;3.224;0.14;0.04;0.385;0.1;0.002;0.004;0.082;0.102;0.775;0.225;28;0.988;1.02;;;;;;0.067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abalone9-18;SYRFD_thr4;0.11;2.138;6.663;5.004;0.007;2.973;2.321;6.782;1.369;1.247;3.418;2.588;0.002;0.09;0.093;0.217;0.069;0.089;0.202;0.109;0.772;0.228;21;2.792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cleveland-0_vs_4;SYRFD_thr4;0.341;1.255;7.851;8.761;10.327;0.007;5.272;15.171;13.18;0.053;0.962;6.7;0.275;0.002;0.176;0.449;0.407;0.011;0.179;0.233;;;78;1.4317450110379845e+18;12.241;0.012;11.795;15.205;1.165;1.706;0.395;0.003;0.324;0.317;0.196;0.292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dermatology-6;SYRFD_thr4;0.15;2.109;39.712;13.49;0.35;3.655;2.908;4.487;8.486;3.988;21.709;4.719;0.035;0.086;0.089;0.123;0.16;0.071;0.547;0.144;0.742;0.258;561;0.734;3.841;2.364;1.011;0.218;4.03;2.475;0.069;0.312;0.045;0.06;0.072;0.043;3.594;2.845;0.279;0.856;0.977;2.093;5.485;8.472;6.323;1.827;4.615;3.418;5.506;4.158;0.273;4.144;2.3;22.582;0.398;4.396;16.38;0.068;0.051;0.066;0.085;0.16;0.093;0.116;0.171;0.12;0.032;0.084;0.065;0.1;0.074;0.076;0.074;0.454;0.58;0.083;0.102;0.52;;;;;;;;;;
iris0;SYRFD_thr4;0.599;0.6;1.785;0.841;12.21;5.324;13.957;14.622;;;;11.528;0.296;0.146;0.321;0.326;;;;0.272;0.633;0.367;6;0.604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecoli-0_vs_1;SYRFD_thr4;0.333;1.301;2.447;6.224;1.787;6.714;0.011;0.0;7.097;13.563;4.447;4.803;0.161;0.23;0.003;0.0;0.15;0.343;0.152;0.149;0.683;0.317;21;1.964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
