dataset;metodo;strategia;llm_model;Silhouette;Davies-Bouldin;Compactness_class_1;KL_mean;JS_mean;Q_multi_attribute_similarity;KS_mean;Chi2_mean;WD_mean;pMSE;Precision;Recall;Density;Coverage;mDCR;MAD_mean;MMD;PCA_WD_mean;PCA_explained_var_cum;Moment_mean_diff;Moment_var_diff;Moment_skew_diff;Moment_kurt_diff;FE_real_mean;FE_syn_mean;FE_ratio_mean;Coverage_div
Obesity_onevsrest_3;SYRFD_thr8;—;;0.03 +/- 0.000;6.313 +/- 0.000;14.468 +/- 0.000;0.646 +/- 0.000;0.039 +/- 0.000;0.911 +/- 0.000;0.155 +/- 0.000;0.075 +/- 0.000;0.414 +/- 0.000;0.068 +/- 0.000;0.567 +/- 0.000;0.602 +/- 0.000;0.48 +/- 0.000;0.247 +/- 0.000;2.969 +/- 0.000;0.308 +/- 0.000;0.221 +/- 0.000;0.438 +/- 0.000;0.543 +/- 0.000;0.308 +/- 0.000;1.159 +/- 0.000;1.657 +/- 0.000;20.426 +/- 0.000;1.078 +/- 0.000;0.997 +/- 0.000;0.897 +/- 0.000;0.074 +/- 0.000
Obesity_onevsrest_4;SYRFD_thr8;—;;0.022 +/- 0.000;5.925 +/- 0.000;12.89 +/- 0.000;0.642 +/- 0.000;0.043 +/- 0.000;0.904 +/- 0.000;0.126 +/- 0.000;0.07 +/- 0.000;0.326 +/- 0.000;0.048 +/- 0.000;0.535 +/- 0.000;0.535 +/- 0.000;0.379 +/- 0.000;0.217 +/- 0.000;2.991 +/- 0.000;0.25 +/- 0.000;0.176 +/- 0.000;0.404 +/- 0.000;0.543 +/- 0.000;0.25 +/- 0.000;0.833 +/- 0.000;2.636 +/- 0.000;45.193 +/- 0.000;1.065 +/- 0.000;0.923 +/- 0.000;0.75 +/- 0.000;0.063 +/- 0.000
Obesity_onevsrest_5;SYRFD_thr8;—;;0.083 +/- 0.000;2.987 +/- 0.000;9.093 +/- 0.000;1.759 +/- 0.000;0.086 +/- 0.000;0.832 +/- 0.000;0.199 +/- 0.000;0.117 +/- 0.000;0.438 +/- 0.000;0.113 +/- 0.000;0.643 +/- 0.000;0.267 +/- 0.000;0.552 +/- 0.000;0.175 +/- 0.000;2.46 +/- 0.000;0.378 +/- 0.000;0.319 +/- 0.000;0.689 +/- 0.000;0.543 +/- 0.000;0.378 +/- 0.000;0.606 +/- 0.000;nan +/- 0.000;nan +/- 0.000;1.068 +/- 0.000;0.778 +/- 0.000;0.618 +/- 0.000;0.069 +/- 0.000
Obesity_onevsrest_6;SYRFD_thr8;—;;0.215 +/- 0.000;1.956 +/- 0.000;1.767 +/- 0.000;3.117 +/- 0.000;0.099 +/- 0.000;0.817 +/- 0.000;0.244 +/- 0.000;0.112 +/- 0.000;0.531 +/- 0.000;0.139 +/- 0.000;0.956 +/- 0.000;0.326 +/- 0.000;0.837 +/- 0.000;0.13 +/- 0.000;0.171 +/- 0.000;0.502 +/- 0.000;0.516 +/- 0.000;1.015 +/- 0.000;0.533 +/- 0.000;0.502 +/- 0.000;0.896 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.816 +/- 0.000;0.271 +/- 0.000;0.189 +/- 0.000;0.014 +/- 0.000
page-blocks-1-3_vs_4;SYRFD_thr8;—;;0.16 +/- 0.000;2.244 +/- 0.000;5.04 +/- 0.000;13.607 +/- 0.000;0.428 +/- 0.000;0.403 +/- 0.000;0.728 +/- 0.000;0.534 +/- 0.000;0.853 +/- 0.000;0.128 +/- 0.000;0.381 +/- 0.000;0.017 +/- 0.000;0.251 +/- 0.000;0.023 +/- 0.000;394.007 +/- 0.000;0.645 +/- 0.000;0.432 +/- 0.000;0.922 +/- 0.000;0.968 +/- 0.000;0.645 +/- 0.000;1.724 +/- 0.000;3.068 +/- 0.000;19.553 +/- 0.000;1.836 +/- 0.000;0.914 +/- 0.000;0.59 +/- 0.000;0.029 +/- 0.000
pima;SYRFD_thr8;—;;0.071 +/- 0.000;3.793 +/- 0.000;8.206 +/- 0.000;2.718 +/- 0.000;0.121 +/- 0.000;0.705 +/- 0.000;0.31 +/- 0.000;0.099 +/- 0.000;0.489 +/- 0.000;0.038 +/- 0.000;0.994 +/- 0.000;0.512 +/- 0.000;1.441 +/- 0.000;0.26 +/- 0.000;0.375 +/- 0.000;0.41 +/- 0.000;0.32 +/- 0.000;0.554 +/- 0.000;0.812 +/- 0.000;0.41 +/- 0.000;0.543 +/- 0.000;1.216 +/- 0.000;4.144 +/- 0.000;2.334 +/- 0.000;1.711 +/- 0.000;0.711 +/- 0.000;0.098 +/- 0.000
transfusion;SYRFD_thr8;—;;0.088 +/- 0.000;3.013 +/- 0.000;3.305 +/- 0.000;3.886 +/- 0.000;0.134 +/- 0.000;0.709 +/- 0.000;0.325 +/- 0.000;0.147 +/- 0.000;0.419 +/- 0.000;0.027 +/- 0.000;0.89 +/- 0.000;0.843 +/- 0.000;0.898 +/- 0.000;0.383 +/- 0.000;2.236 +/- 0.000;0.3 +/- 0.000;0.343 +/- 0.000;0.386 +/- 0.000;1.0 +/- 0.000;0.3 +/- 0.000;0.62 +/- 0.000;1.169 +/- 0.000;6.509 +/- 0.000;2.276 +/- 0.000;1.968 +/- 0.000;0.86 +/- 0.000;0.467 +/- 0.000
vowel0;SYRFD_thr8;—;;0.142 +/- 0.000;2.359 +/- 0.000;8.483 +/- 0.000;3.164 +/- 0.000;0.132 +/- 0.000;0.711 +/- 0.000;0.364 +/- 0.000;0.204 +/- 0.000;0.762 +/- 0.000;0.166 +/- 0.000;0.311 +/- 0.000;0.093 +/- 0.000;0.18 +/- 0.000;0.056 +/- 0.000;6.286 +/- 0.000;0.643 +/- 0.000;0.428 +/- 0.000;0.953 +/- 0.000;0.816 +/- 0.000;0.643 +/- 0.000;1.105 +/- 0.000;0.77 +/- 0.000;1.344 +/- 0.000;2.366 +/- 0.000;1.98 +/- 0.000;0.829 +/- 0.000;0.006 +/- 0.000
yeast1;SYRFD_thr8;—;;0.048 +/- 0.000;3.812 +/- 0.000;4.846 +/- 0.000;1.631 +/- 0.000;0.079 +/- 0.000;0.807 +/- 0.000;0.212 +/- 0.000;0.099 +/- 0.000;0.364 +/- 0.000;0.041 +/- 0.000;0.991 +/- 0.000;0.695 +/- 0.000;1.252 +/- 0.000;0.457 +/- 0.000;0.86 +/- 0.000;0.268 +/- 0.000;0.325 +/- 0.000;0.376 +/- 0.000;0.754 +/- 0.000;0.268 +/- 0.000;0.738 +/- 0.000;nan +/- 0.000;nan +/- 0.000;2.126 +/- 0.000;1.669 +/- 0.000;0.717 +/- 0.000;0.164 +/- 0.000
yeast3;SYRFD_thr8;—;;0.137 +/- 0.000;2.214 +/- 0.000;3.386 +/- 0.000;3.03 +/- 0.000;0.105 +/- 0.000;0.772 +/- 0.000;0.242 +/- 0.000;0.143 +/- 0.000;0.485 +/- 0.000;0.138 +/- 0.000;0.984 +/- 0.000;0.229 +/- 0.000;1.176 +/- 0.000;0.218 +/- 0.000;1.012 +/- 0.000;0.454 +/- 0.000;0.488 +/- 0.000;0.599 +/- 0.000;0.754 +/- 0.000;0.454 +/- 0.000;0.687 +/- 0.000;nan +/- 0.000;nan +/- 0.000;2.111 +/- 0.000;1.714 +/- 0.000;0.726 +/- 0.000;0.155 +/- 0.000
abalone9-18;GOGGLE;—;;0.19 +/- 0.000;3.433 +/- 0.000;12.297 +/- 0.000;0.751 +/- 0.000;0.175 +/- 0.000;nan +/- 0.000;0.462 +/- 0.000;0.546 +/- 0.000;7.014 +/- 0.000;0.224 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;34.578 +/- 0.000;2.069 +/- 0.000;0.617 +/- 0.000;8.131 +/- 0.000;0.983 +/- 0.000;2.069 +/- 0.000;130.93 +/- 0.000;0.501 +/- 0.000;1.394 +/- 0.000;0.923 +/- 0.000;2.828 +/- 0.000;3.4 +/- 0.000;0.017 +/- 0.000
cleveland-0_vs_4;GOGGLE;—;;0.509 +/- 0.000;0.803 +/- 0.000;4.328 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.848 +/- 0.000;0.782 +/- 0.000;3.18 +/- 0.000;0.245 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;18.095 +/- 0.000;3.091 +/- 0.000;0.976 +/- 0.000;3.456 +/- 0.000;0.591 +/- 0.000;3.091 +/- 0.000;0.835 +/- 0.000;1.073 +/- 0.000;1.937 +/- 0.000;1.111 +/- 0.000;1.19 +/- 0.000;1.781 +/- 0.000;0.0 +/- 0.000
dermatology-6;GOGGLE;—;;0.102 +/- 0.000;3.129 +/- 0.000;36.132 +/- 0.000;2.1 +/- 0.000;0.36 +/- 0.000;0.441 +/- 0.000;0.506 +/- 0.000;0.475 +/- 0.000;1.06 +/- 0.000;0.24 +/- 0.000;0.019 +/- 0.000;0.053 +/- 0.000;0.006 +/- 0.000;0.017 +/- 0.000;2.215 +/- 0.000;0.614 +/- 0.000;0.443 +/- 0.000;1.891 +/- 0.000;0.631 +/- 0.000;0.614 +/- 0.000;1.653 +/- 0.000;1.456 +/- 0.000;2.943 +/- 0.000;0.881 +/- 0.000;2.278 +/- 0.000;3.236 +/- 0.000;0.0 +/- 0.000
iris0;GOGGLE;—;;0.476 +/- 0.000;0.88 +/- 0.000;3.583 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.809 +/- 0.000;0.616 +/- 0.000;3.448 +/- 0.000;0.176 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;18.565 +/- 0.000;3.443 +/- 0.000;1.104 +/- 0.000;3.356 +/- 0.000;1.0 +/- 0.000;3.443 +/- 0.000;0.795 +/- 0.000;0.169 +/- 0.000;0.724 +/- 0.000;1.381 +/- 0.000;1.53 +/- 0.000;1.145 +/- 0.000;0.022 +/- 0.000
ecoli-0_vs_1;GOGGLE;—;;0.246 +/- 0.000;1.581 +/- 0.000;10.958 +/- 0.000;4.458 +/- 0.000;0.225 +/- 0.000;nan +/- 0.000;0.613 +/- 0.000;0.512 +/- 0.000;4.251 +/- 0.000;0.168 +/- 0.000;0.046 +/- 0.000;1.0 +/- 0.000;0.009 +/- 0.000;0.005 +/- 0.000;13.639 +/- 0.000;3.259 +/- 0.000;0.871 +/- 0.000;5.769 +/- 0.000;0.984 +/- 0.000;3.259 +/- 0.000;33.395 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.861 +/- 0.000;1.984 +/- 0.000;42695306.94 +/- 0.000;0.0 +/- 0.000
ecoli1;GOGGLE;—;;0.306 +/- 0.000;1.297 +/- 0.000;5.173 +/- 0.000;11.836 +/- 0.000;0.393 +/- 0.000;nan +/- 0.000;0.768 +/- 0.000;0.614 +/- 0.000;2.057 +/- 0.000;0.22 +/- 0.000;0.066 +/- 0.000;0.0 +/- 0.000;0.013 +/- 0.000;0.003 +/- 0.000;3.192 +/- 0.000;1.787 +/- 0.000;0.869 +/- 0.000;1.991 +/- 0.000;0.914 +/- 0.000;1.787 +/- 0.000;1.077 +/- 0.000;3.618 +/- 0.000;51.816 +/- 0.000;1.395 +/- 0.000;1.636 +/- 0.000;13.237 +/- 0.000;0.006 +/- 0.000
kddcup-guess_passwd_vs_satan;GOGGLE;—;;0.506 +/- 0.000;0.879 +/- 0.000;34.385 +/- 0.000;5.833 +/- 0.000;0.476 +/- 0.000;nan +/- 0.000;0.834 +/- 0.000;0.722 +/- 0.000;7.556 +/- 0.000;0.249 +/- 0.000;0.062 +/- 0.000;0.998 +/- 0.000;0.013 +/- 0.000;0.002 +/- 0.000;0.0 +/- 0.000;6.79 +/- 0.000;0.91 +/- 0.000;10.769 +/- 0.000;0.742 +/- 0.000;6.79 +/- 0.000;158.968 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.397 +/- 0.000;2.543 +/- 0.000;469105001.045 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_0;GOGGLE;—;;0.152 +/- 0.000;2.413 +/- 0.000;33.464 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.717 +/- 0.000;0.632 +/- 0.000;5.858 +/- 0.000;0.168 +/- 0.000;0.029 +/- 0.000;1.0 +/- 0.000;0.006 +/- 0.000;0.003 +/- 0.000;9.358 +/- 0.000;3.899 +/- 0.000;0.858 +/- 0.000;9.346 +/- 0.000;0.492 +/- 0.000;3.899 +/- 0.000;94.375 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.486 +/- 0.000;1.899 +/- 0.000;30832573.174 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_1;GOGGLE;—;;0.246 +/- 0.000;1.792 +/- 0.000;29.489 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.688 +/- 0.000;0.618 +/- 0.000;6.2 +/- 0.000;0.238 +/- 0.000;0.031 +/- 0.000;0.976 +/- 0.000;0.007 +/- 0.000;0.008 +/- 0.000;10.367 +/- 0.000;3.922 +/- 0.000;0.707 +/- 0.000;9.665 +/- 0.000;0.492 +/- 0.000;3.922 +/- 0.000;88.056 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.487 +/- 0.000;2.118 +/- 0.000;40650153.739 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_2;GOGGLE;—;;0.389 +/- 0.000;1.09 +/- 0.000;20.277 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.784 +/- 0.000;0.685 +/- 0.000;7.908 +/- 0.000;0.247 +/- 0.000;0.006 +/- 0.000;0.077 +/- 0.000;0.001 +/- 0.000;0.005 +/- 0.000;11.945 +/- 0.000;7.275 +/- 0.000;0.876 +/- 0.000;11.48 +/- 0.000;0.492 +/- 0.000;7.275 +/- 0.000;59.042 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.49 +/- 0.000;2.161 +/- 0.000;59936803.436 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_3;GOGGLE;—;;0.453 +/- 0.000;0.987 +/- 0.000;7.513 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.718 +/- 0.000;0.654 +/- 0.000;2.272 +/- 0.000;0.248 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.2 +/- 0.000;0.003 +/- 0.000;10.969 +/- 0.000;2.095 +/- 0.000;0.973 +/- 0.000;3.857 +/- 0.000;0.492 +/- 0.000;2.095 +/- 0.000;0.767 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.491 +/- 0.000;1.204 +/- 0.000;45824477.985 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_4;GOGGLE;—;;0.437 +/- 0.000;0.953 +/- 0.000;15.174 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.796 +/- 0.000;0.726 +/- 0.000;7.233 +/- 0.000;0.248 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;10.822 +/- 0.000;6.918 +/- 0.000;0.998 +/- 0.000;11.498 +/- 0.000;0.492 +/- 0.000;6.918 +/- 0.000;18.766 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.485 +/- 0.000;2.082 +/- 0.000;42938500.697 +/- 0.000;0.0 +/- 0.000
Migraine_onevsrest_5;GOGGLE;—;;0.498 +/- 0.000;0.9 +/- 0.000;4.477 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.862 +/- 0.000;0.618 +/- 0.000;2.152 +/- 0.000;0.248 +/- 0.000;1.0 +/- 0.000;0.0 +/- 0.000;0.2 +/- 0.000;0.003 +/- 0.000;10.914 +/- 0.000;2.035 +/- 0.000;0.944 +/- 0.000;3.611 +/- 0.000;0.492 +/- 0.000;2.035 +/- 0.000;0.812 +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.488 +/- 0.000;0.741 +/- 0.000;35665975.035 +/- 0.000;0.0 +/- 0.000
new-thyroid1;GOGGLE;—;;0.474 +/- 0.000;1.336 +/- 0.000;3.782 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.856 +/- 0.000;0.68 +/- 0.000;2.398 +/- 0.000;0.232 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;38.146 +/- 0.000;2.385 +/- 0.000;1.067 +/- 0.000;2.826 +/- 0.000;1.0 +/- 0.000;2.385 +/- 0.000;0.999 +/- 0.000;2.221 +/- 0.000;13.333 +/- 0.000;2.251 +/- 0.000;0.191 +/- 0.000;0.08 +/- 0.000;0.0 +/- 0.000
newthyroid2;GOGGLE;—;;0.4 +/- 0.000;1.358 +/- 0.000;3.786 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.633 +/- 0.000;0.455 +/- 0.000;2.255 +/- 0.000;0.231 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;38.304 +/- 0.000;2.254 +/- 0.000;1.01 +/- 0.000;2.824 +/- 0.000;1.0 +/- 0.000;2.254 +/- 0.000;0.917 +/- 0.000;2.49 +/- 0.000;14.071 +/- 0.000;2.235 +/- 0.000;1.428 +/- 0.000;0.61 +/- 0.000;0.0 +/- 0.000
Obesity_onevsrest_0;GOGGLE;—;;0.275 +/- 0.000;1.504 +/- 0.000;19.378 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.69 +/- 0.000;0.68 +/- 0.000;4.17 +/- 0.000;0.244 +/- 0.000;0.0 +/- 0.000;0.028 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;44.072 +/- 0.000;3.267 +/- 0.000;0.711 +/- 0.000;6.409 +/- 0.000;0.543 +/- 0.000;3.267 +/- 0.000;24.384 +/- 0.000;1.45 +/- 0.000;4.91 +/- 0.000;0.916 +/- 0.000;2.6 +/- 0.000;5.94 +/- 0.000;0.0 +/- 0.000
Obesity_onevsrest_1;GOGGLE;—;;0.256 +/- 0.000;1.601 +/- 0.000;18.859 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.72 +/- 0.000;0.7 +/- 0.000;3.09 +/- 0.000;0.243 +/- 0.000;0.0 +/- 0.000;0.003 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;44.048 +/- 0.000;2.794 +/- 0.000;0.777 +/- 0.000;5.39 +/- 0.000;0.543 +/- 0.000;2.794 +/- 0.000;9.799 +/- 0.000;1.171 +/- 0.000;5.157 +/- 0.000;0.899 +/- 0.000;2.515 +/- 0.000;5.923 +/- 0.000;0.0 +/- 0.000
Obesity_onevsrest_2;GOGGLE;—;;0.305 +/- 0.000;1.293 +/- 0.000;16.827 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.776 +/- 0.000;0.749 +/- 0.000;3.999 +/- 0.000;0.243 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;44.661 +/- 0.000;3.658 +/- 0.000;0.832 +/- 0.000;7.126 +/- 0.000;0.543 +/- 0.000;3.658 +/- 0.000;15.074 +/- 0.000;1.419 +/- 0.000;4.942 +/- 0.000;0.913 +/- 0.000;2.577 +/- 0.000;5.942 +/- 0.000;0.0 +/- 0.000
Obesity_onevsrest_3;GOGGLE;—;;0.264 +/- 0.000;1.516 +/- 0.000;16.937 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.799 +/- 0.000;0.794 +/- 0.000;3.169 +/- 0.000;0.243 +/- 0.000;0.0 +/- 0.000;0.012 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;44.062 +/- 0.000;3.041 +/- 0.000;0.899 +/- 0.000;6.071 +/- 0.000;0.543 +/- 0.000;3.041 +/- 0.000;6.984 +/- 0.000;0.532 +/- 0.000;2.354 +/- 0.000;0.927 +/- 0.000;2.176 +/- 0.000;5.176 +/- 0.000;0.0 +/- 0.000
Obesity_onevsrest_4;GOGGLE;—;;0.26 +/- 0.000;1.503 +/- 0.000;17.479 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.806 +/- 0.000;0.76 +/- 0.000;3.202 +/- 0.000;0.239 +/- 0.000;0.0 +/- 0.000;0.05 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;44.037 +/- 0.000;3.101 +/- 0.000;0.901 +/- 0.000;6.103 +/- 0.000;0.543 +/- 0.000;3.101 +/- 0.000;7.258 +/- 0.000;0.784 +/- 0.000;3.756 +/- 0.000;0.978 +/- 0.000;2.449 +/- 0.000;5.644 +/- 0.000;0.0 +/- 0.000
Obesity_onevsrest_5;GOGGLE;—;;0.26 +/- 0.000;1.534 +/- 0.000;17.02 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.78 +/- 0.000;0.747 +/- 0.000;3.125 +/- 0.000;0.242 +/- 0.000;0.0 +/- 0.000;0.009 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;43.931 +/- 0.000;3.028 +/- 0.000;0.907 +/- 0.000;5.951 +/- 0.000;0.543 +/- 0.000;3.028 +/- 0.000;6.003 +/- 0.000;1.166 +/- 0.000;6.746 +/- 0.000;0.937 +/- 0.000;2.289 +/- 0.000;5.275 +/- 0.000;0.0 +/- 0.000
Obesity_onevsrest_6;GOGGLE;—;;0.216 +/- 0.000;1.734 +/- 0.000;15.862 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.771 +/- 0.000;0.732 +/- 0.000;2.114 +/- 0.000;0.24 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;46.714 +/- 0.000;1.882 +/- 0.000;0.679 +/- 0.000;2.496 +/- 0.000;0.533 +/- 0.000;1.882 +/- 0.000;2.905 +/- 0.000;0.635 +/- 0.000;2.495 +/- 0.000;0.798 +/- 0.000;2.316 +/- 0.000;6.186 +/- 0.000;0.0 +/- 0.000
page-blocks-1-3_vs_4;GOGGLE;—;;0.095 +/- 0.000;2.722 +/- 0.000;5.209 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.683 +/- 0.000;0.196 +/- 0.000;0.437 +/- 0.000;0.14 +/- 0.000;0.639 +/- 0.000;0.019 +/- 0.000;0.392 +/- 0.000;0.087 +/- 0.000;1.238 +/- 0.000;0.399 +/- 0.000;0.303 +/- 0.000;0.454 +/- 0.000;0.968 +/- 0.000;0.399 +/- 0.000;1.039 +/- 0.000;3.135 +/- 0.000;19.043 +/- 0.000;1.764 +/- 0.000;0.456 +/- 0.000;0.251 +/- 0.000;0.072 +/- 0.000
pima;GOGGLE;—;;0.132 +/- 0.000;3.17 +/- 0.000;10.735 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.816 +/- 0.000;0.619 +/- 0.000;2.382 +/- 0.000;0.176 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;5.031 +/- 0.000;2.339 +/- 0.000;1.016 +/- 0.000;2.672 +/- 0.000;0.812 +/- 0.000;2.339 +/- 0.000;1.487 +/- 0.000;0.607 +/- 0.000;2.708 +/- 0.000;2.231 +/- 0.000;0.662 +/- 0.000;0.31 +/- 0.000;0.0 +/- 0.000
transfusion;GOGGLE;—;;0.235 +/- 0.000;1.762 +/- 0.000;2.974 +/- 0.000;nan +/- 0.000;nan +/- 0.000;nan +/- 0.000;0.889 +/- 0.000;0.576 +/- 0.000;1.096 +/- 0.000;0.19 +/- 0.000;0.0 +/- 0.000;0.001 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;249.557 +/- 0.000;1.096 +/- 0.000;0.753 +/- 0.000;0.917 +/- 0.000;1.0 +/- 0.000;1.096 +/- 0.000;0.983 +/- 0.000;1.212 +/- 0.000;8.928 +/- 0.000;2.336 +/- 0.000;0.448 +/- 0.000;0.19 +/- 0.000;0.033 +/- 0.000
vowel0;GOGGLE;—;;0.208 +/- 0.000;2.086 +/- 0.000;15.155 +/- 0.000;3.252 +/- 0.000;0.179 +/- 0.000;nan +/- 0.000;0.449 +/- 0.000;0.39 +/- 0.000;1.804 +/- 0.000;0.242 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;15.445 +/- 0.000;1.083 +/- 0.000;0.579 +/- 0.000;2.053 +/- 0.000;0.816 +/- 0.000;1.083 +/- 0.000;5.6 +/- 0.000;0.16 +/- 0.000;0.578 +/- 0.000;1.785 +/- 0.000;2.576 +/- 0.000;1.769 +/- 0.000;0.001 +/- 0.000
yeast1;GOGGLE;—;;0.194 +/- 0.000;2.502 +/- 0.000;14.473 +/- 0.000;1.898 +/- 0.000;0.274 +/- 0.000;nan +/- 0.000;0.617 +/- 0.000;0.662 +/- 0.000;7.99 +/- 0.000;0.187 +/- 0.000;0.0 +/- 0.000;0.99 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;31.412 +/- 0.000;4.933 +/- 0.000;0.649 +/- 0.000;9.216 +/- 0.000;0.754 +/- 0.000;4.933 +/- 0.000;95.589 +/- 0.000;0.918 +/- 0.000;15.923 +/- 0.000;0.856 +/- 0.000;3.162 +/- 0.000;14.486 +/- 0.000;0.0 +/- 0.000
yeast3;GOGGLE;—;;0.323 +/- 0.000;1.651 +/- 0.000;13.294 +/- 0.000;4.065 +/- 0.000;0.275 +/- 0.000;nan +/- 0.000;0.654 +/- 0.000;0.631 +/- 0.000;7.254 +/- 0.000;0.236 +/- 0.000;0.0 +/- 0.000;0.993 +/- 0.000;0.0 +/- 0.000;0.0 +/- 0.000;32.898 +/- 0.000;4.631 +/- 0.000;0.616 +/- 0.000;8.071 +/- 0.000;0.754 +/- 0.000;4.631 +/- 0.000;77.844 +/- 0.000;1.646 +/- 0.000;41.153 +/- 0.000;0.874 +/- 0.000;2.976 +/- 0.000;11.359 +/- 0.000;0.006 +/- 0.000
abalone9-18;tabdiff;—;;0.096 +/- 0.000;2.706 +/- 0.000;nan +/- 0.000;1.81 +/- 0.000;0.107 +/- 0.000;0.716 +/- 0.000;0.294 +/- 0.000;0.169 +/- 0.000;0.781 +/- 0.000;0.081 +/- 0.000;0.469 +/- 0.000;0.894 +/- 0.000;0.176 +/- 0.000;0.203 +/- 0.000;4.952 +/- 0.000;0.741 +/- 0.000;0.356 +/- 0.000;0.951 +/- 0.000;0.983 +/- 0.000;0.741 +/- 0.000;0.942 +/- 0.000;0.264 +/- 0.000;1.433 +/- 0.000;2.376 +/- 0.000;2.39 +/- 0.000;0.985 +/- 0.000;0.38 +/- 0.000
cleveland-0_vs_4;tabdiff;—;;0.149 +/- 0.000;2.335 +/- 0.000;nan +/- 0.000;0.804 +/- 0.000;0.132 +/- 0.000;0.73 +/- 0.000;0.449 +/- 0.000;0.212 +/- 0.000;0.834 +/- 0.000;0.16 +/- 0.000;1.0 +/- 0.000;0.5 +/- 0.000;0.555 +/- 0.000;0.244 +/- 0.000;1.123 +/- 0.000;0.783 +/- 0.000;0.434 +/- 0.000;0.915 +/- 0.000;0.591 +/- 0.000;0.783 +/- 0.000;0.55 +/- 0.000;1.346 +/- 0.000;3.149 +/- 0.000;1.254 +/- 0.000;1.442 +/- 0.000;1.25 +/- 0.000;0.018 +/- 0.000
