tuple_pair,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,class
"t18,t20",7,7,26,45,11,3,31,10,2,23,32,139,28,11,3,6,8,12,0
"t18,t21",0,3,13,4,0,2,26,6,2,16,18,106,14,8,0,4,11,8,0
"t18,t22",3,11,22,22,7,2,31,8,2,24,19,129,64,6,6,27,8,6,0
"t18,t23",2,4,15,37,12,4,24,7,2,16,13,107,13,6,5,16,2,10,0
"t18,t24",8,3,7,1,1,2,21,5,2,12,17,89,14,10,10,2,16,12,0
"t18,t25",4,10,16,11,1,2,25,6,2,26,14,105,61,2,8,6,4,0,0
"t18,t26",4,11,15,18,3,1,30,8,2,30,24,123,58,7,7,10,9,7,0
"t18,t27",5,5,0,13,2,1,10,2,1,16,9,42,35,8,2,5,11,9,0
"t18,t28",5,3,1,3,2,0,18,4,1,12,14,77,19,9,1,6,14,11,0
"t18,t29",5,1,2,17,8,0,1,0,0,1,1,10,1,3,3,16,2,2,0
"t18,t30",7,12,19,10,0,2,35,10,2,31,29,143,73,7,3,2,10,5,0
"t18,t31",3,6,3,2,1,1,19,4,1,17,17,80,58,10,3,10,14,12,0
"t18,t32",6,2,5,1,1,1,17,4,1,12,16,73,24,9,4,10,14,12,0
"t18,t33",1,6,19,30,8,1,37,11,2,16,18,152,30,1,6,10,6,1,0
"t18,t34",4,1,6,14,6,2,6,1,0,5,5,31,7,4,6,21,5,5,0
"t18,t35",2,7,30,47,11,3,31,11,2,21,35,140,27,14,9,7,9,12,0
"t18,t36",4,3,1,23,7,0,7,2,0,10,6,38,2,4,4,6,3,4,0
"t18,t37",1,7,27,24,6,3,41,12,3,20,31,164,35,10,2,4,14,11,0
"t18,t38",3,5,21,11,0,0,30,8,2,18,20,125,26,6,2,1,8,6,0
"t18,t39",6,10,15,16,2,1,27,6,2,26,18,109,45,5,2,9,9,7,0
"t18,t40",1,11,25,35,8,4,44,14,3,30,38,178,67,6,3,14,7,3,0
"t18,t41",1,0,2,161,69,38,5,1,0,3,52,25,9,24,9,14,1,1,0
"t18,t42",1,2,0,12,5,1,5,1,0,2,0,27,12,2,3,16,2,2,0
"t18,t43",6,3,5,21,6,1,7,2,0,3,11,40,9,1,4,17,2,2,0
"t18,t44",1,1,1,2,2,1,4,1,0,1,4,21,9,1,8,20,1,2,0
"t18,t45",4,9,9,18,5,2,21,5,2,29,10,88,47,2,4,10,4,1,0
"t18,t46",5,12,21,32,7,4,47,15,3,35,39,189,62,8,8,23,11,8,0
"t18,t47",4,4,3,25,10,0,8,1,1,11,1,30,24,1,8,6,1,2,0
"t18,t48",7,0,2,3,0,1,7,1,0,11,4,30,3,5,8,13,7,7,0
"t18,t49",3,8,7,3,2,2,24,6,2,20,20,99,59,9,5,7,16,13,0
"t18,t50",3,4,0,28,10,0,8,2,1,7,3,38,20,2,3,13,1,1,0
"t18,t51",0,1,4,17,4,1,13,2,1,4,4,56,15,2,7,0,0,0,0
"t18,t52",4,9,27,42,8,6,45,15,3,31,37,181,33,5,0,2,1,9,0
"t18,t53",10,1,5,11,3,1,6,1,0,10,7,26,1,6,8,7,7,5,0
"t18,t54",4,11,17,34,10,3,36,10,2,28,22,147,69,7,8,2,10,1,0
"t18,t55",1,9,11,23,5,3,27,7,2,27,10,111,57,1,2,7,4,2,0
"t18,t56",1,6,21,13,3,2,34,9,2,18,16,140,32,5,3,12,9,6,0
"t18,t57",1,4,15,28,9,2,33,9,2,14,18,136,29,3,8,8,5,1,0
"t18,t58",3,7,23,44,15,3,32,10,2,15,17,140,29,5,1,6,1,11,0
"t18,t59",1,4,0,1,0,1,8,1,1,9,4,33,11,1,4,9,0,1,0
"t18,t60",0,1,8,29,8,0,6,2,0,4,8,35,2,5,8,3,3,4,0
"t18,t61",3,5,21,38,13,3,28,9,2,16,13,127,30,5,7,12,0,10,0
"t18,t62",1,2,4,85,38,33,8,2,0,0,23,42,8,17,0,17,2,3,0
"t18,t63",1,7,8,2,1,1,19,4,1,19,9,75,42,3,9,5,5,5,0
"t18,t64",5,1,7,2,1,1,3,0,0,3,1,17,14,3,2,21,4,5,0
"t18,t65",7,2,6,0,1,0,12,3,1,12,11,55,14,8,9,20,12,10,0
"t18,t66",3,0,4,12,2,1,16,3,1,8,6,64,4,1,9,6,3,3,0
"t18,t67",8,4,15,89,41,45,24,6,2,15,54,100,13,26,5,9,5,4,0
"t18,t68",4,12,19,14,2,1,32,8,2,33,18,131,70,7,1,7,11,6,0
"t18,t69",6,3,0,5,2,0,8,1,1,10,10,34,26,6,6,10,7,7,0
"t18,t70",1,6,1,20,7,1,14,3,1,17,7,59,27,1,0,14,4,4,0
"t18,t71",0,1,0,4,0,1,2,1,0,7,2,14,1,1,6,16,0,0,0
"t18,t72",3,1,3,16,6,1,4,1,0,0,3,18,4,4,7,4,2,1,0
"t18,t73",3,5,21,11,0,0,30,8,2,19,20,124,26,6,2,0,8,6,0
"t18,t74",1,8,3,3,4,0,20,4,1,23,13,81,27,5,4,9,6,6,0
"t18,t75",1,4,3,4,3,1,14,3,1,3,12,63,45,9,8,26,12,12,0
"t18,t76",5,12,38,51,9,7,46,15,3,38,41,186,46,16,4,9,5,11,0
"t18,t77",5,11,19,38,9,5,43,14,3,32,37,177,54,0,8,18,1,5,0
"t18,t78",2,7,19,50,16,3,24,8,1,20,18,112,37,12,3,19,3,12,0
"t18,t79",0,6,23,14,4,4,35,10,2,19,28,143,28,12,4,4,16,13,0
"t18,t80",3,7,4,1,4,0,17,4,1,21,10,72,28,3,9,13,4,4,0
"t18,t81",1,5,4,14,3,1,12,2,1,15,7,51,22,1,2,23,2,4,0
"t18,t82",2,4,1,25,9,1,9,2,1,10,3,39,21,0,3,2,0,1,0
"t18,t83",7,10,36,49,9,5,41,13,3,32,33,170,39,12,1,16,5,11,0
"t18,t84",6,8,27,44,13,4,30,10,2,21,23,134,35,13,3,0,4,13,0
"t18,t85",4,1,2,1,0,0,7,1,1,7,0,32,2,1,5,14,0,1,0
"t18,t86",2,12,25,18,5,3,35,10,2,31,30,143,76,11,8,6,17,14,0
"t18,t87",1,7,6,7,0,1,19,4,1,21,9,78,36,2,1,7,3,2,0
"t18,t88",3,1,1,11,1,1,7,2,0,5,6,35,3,0,1,15,0,0,0
"t18,t89",4,13,23,21,3,3,41,12,3,33,36,166,73,9,7,14,15,13,0
"t18,t90",0,1,12,24,6,1,2,1,0,2,7,16,1,3,9,9,3,2,0
"t18,t91",2,9,25,31,2,5,49,16,3,28,42,195,48,1,5,5,5,1,0
"t18,t92",3,2,2,19,8,0,6,1,0,5,3,25,3,2,8,21,1,2,0
"t18,t93",1,0,0,14,6,0,10,2,1,9,2,40,1,1,4,7,1,2,0
"t18,t94",5,1,9,1,2,1,1,0,0,5,2,8,13,1,1,4,1,2,0
"t18,t95",4,2,4,5,3,1,18,4,1,13,13,76,6,7,2,14,9,7,0
"t18,t96",8,9,15,36,12,2,33,11,2,21,20,146,53,1,9,13,1,10,0
"t18,t97",4,3,7,3,4,1,21,4,2,13,9,84,14,3,8,11,5,6,0
"t18,t98",0,5,22,17,5,3,32,8,2,18,23,130,23,8,6,3,12,9,0
"t18,t99",3,11,21,4,5,2,27,7,2,24,16,110,58,6,7,29,8,9,0
"t18,t100",4,2,0,1,1,0,5,1,0,3,3,22,23,5,8,6,4,4,0
"t18,t101",10,1,0,3,0,1,0,0,0,3,1,2,15,2,9,0,4,1,0
"t18,t102",5,8,17,42,12,5,35,11,2,25,29,148,43,2,1,8,3,8,0
"t18,t103",3,10,33,45,10,4,48,16,3,34,42,193,41,1,2,22,1,5,0
"t18,t104",0,1,7,19,5,1,3,1,0,0,4,19,0,3,1,11,2,3,0
"t18,t105",1,10,9,23,9,2,31,9,2,25,20,133,61,4,9,12,6,3,0
"t18,t106",6,7,15,41,14,2,26,8,2,19,15,120,46,7,1,13,2,12,0
"t18,t107",5,10,17,16,4,4,33,9,2,30,27,136,64,8,6,14,10,8,0
"t18,t108",1,1,7,13,3,1,16,3,1,8,9,66,14,3,4,11,4,5,0
"t18,t109",0,0,12,25,6,1,2,0,0,7,5,13,0,4,2,8,2,4,0
"t18,t110",1,10,34,50,10,5,43,14,3,33,39,176,38,9,2,4,4,12,0
"t18,t111",1,1,8,36,12,0,7,2,0,0,6,38,8,5,2,17,2,4,0
"t18,t112",7,10,23,48,11,4,41,13,3,31,34,171,50,6,9,7,4,10,0
"t18,t113",6,10,32,40,5,5,40,13,3,35,36,168,52,9,2,1,6,12,0
"t18,t114",1,5,19,19,6,1,29,8,2,18,14,121,21,4,3,5,6,2,0
"t18,t115",1,0,4,14,0,1,7,2,0,3,7,37,3,3,3,13,1,2,0
"t18,t116",1,12,15,23,6,3,37,11,3,32,30,152,73,9,5,19,14,12,0
"t18,t117",7,7,32,47,11,4,31,11,2,20,35,142,28,13,1,7,9,12,0
"t18,t118",2,5,19,28,7,4,40,12,3,16,30,162,25,7,1,4,8,3,0
"t18,t119",4,8,25,21,4,3,44,13,3,26,37,177,44,12,2,8,15,12,0
"t18,t120",5,2,3,22,8,1,4,1,0,2,4,24,0,2,2,10,3,4,0
"t18,t121",1,11,17,20,5,2,24,5,2,30,11,98,58,0,2,1,4,1,0
"t18,t122",0,8,28,47,16,3,28,9,2,21,22,128,34,12,3,8,2,13,0
"t18,t123",2,6,5,14,2,2,17,3,1,16,8,71,24,2,5,16,3,2,0
"t18,t124",3,2,19,22,6,2,23,5,2,12,9,95,10,0,6,12,3,1,0
"t18,t125",3,4,3,9,2,1,13,3,1,13,13,55,42,8,7,17,11,11,0
"t18,t126",5,2,14,11,1,2,20,4,1,13,6,82,6,1,7,3,2,1,0
"t18,t127",3,1,0,8,2,1,12,2,1,13,8,50,6,6,9,4,10,9,0
"t18,t128",4,1,10,25,6,0,2,1,0,3,7,18,0,2,6,1,2,3,0
"t18,t129",3,6,10,37,13,3,23,7,2,19,13,105,36,4,4,15,1,10,0
"t18,t130",4,8,27,36,9,5,46,15,3,26,37,185,37,4,2,6,5,1,0
"t18,t131",2,3,0,22,8,1,6,1,0,5,1,26,10,3,4,16,1,0,0
"t18,t132",1,6,1,20,6,1,14,3,1,15,5,59,23,1,5,18,3,5,0
"t18,t133",3,5,15,30,8,3,36,11,2,15,21,149,33,1,4,4,4,5,0
"t18,t134",4,4,17,11,0,1,25,6,2,17,16,104,11,4,3,0,7,6,0
"t18,t135",0,1,5,18,2,1,4,1,0,4,8,23,1,1,8,7,0,2,0
"t18,t136",2,7,3,2,1,1,17,3,1,20,12,70,48,9,0,0,14,11,0
"t18,t137",5,6,3,9,1,1,18,4,1,15,14,75,45,9,5,8,14,12,0
"t18,t138",1,1,11,26,5,1,6,2,0,2,7,33,8,6,3,3,1,4,0
"t18,t139",6,8,8,1,2,2,23,5,2,10,16,95,61,11,6,3,16,13,0
"t18,t140",1,7,25,30,8,4,45,14,3,23,34,180,32,8,1,8,8,4,0
"t18,t141",2,12,27,25,6,4,41,13,3,28,35,167,69,9,3,17,12,8,0
"t18,t142",4,8,23,32,5,4,47,15,3,25,40,186,40,9,2,9,14,9,0
"t18,t143",4,0,0,172,74,39,8,1,1,5,143,35,2,62,3,9,3,1,0
"t18,t144",1,3,19,10,1,3,26,6,2,14,11,109,18,1,8,9,3,1,0
"t18,t145",1,11,34,52,12,4,45,15,3,31,40,183,60,7,7,14,4,10,0
"t18,t146",5,4,9,19,7,0,12,2,1,11,4,50,26,2,7,23,2,5,0
"t18,t147",0,4,13,4,0,2,27,7,2,15,19,110,18,9,5,6,16,14,0
"t18,t148",1,3,15,24,6,4,27,7,2,14,9,116,19,5,1,3,1,8,0
"t18,t149",4,12,41,51,10,8,44,15,3,39,38,181,48,17,3,1,5,12,0
"t18,t150",1,11,17,12,4,2,30,8,2,26,24,124,66,11,3,18,16,14,0
"t18,t151",7,2,12,0,4,2,21,4,2,16,8,84,6,2,1,3,6,4,0
"t18,t152",0,3,16,9,0,3,28,7,2,15,12,117,23,2,6,2,2,4,0
"t18,t153",1,3,9,36,10,0,7,2,0,9,14,37,9,3,3,12,1,2,0
"t18,t154",3,5,21,3,4,1,29,7,2,18,14,121,15,2,2,13,7,6,0
"t18,t155",0,1,10,28,9,1,3,1,0,1,4,20,14,4,9,16,3,3,0
"t18,t156",5,0,3,1,0,1,4,1,0,3,1,18,0,2,3,13,4,3,0
"t18,t157",4,10,25,46,10,5,44,14,3,28,36,180,56,1,7,8,1,5,0
"t18,t158",4,2,2,24,10,1,5,1,0,2,1,23,1,2,4,5,2,1,0
"t18,t159",1,5,19,36,11,3,32,9,2,16,15,135,23,0,1,17,3,4,0
"t18,t160",5,8,28,35,8,4,49,16,3,25,43,194,40,9,8,7,12,7,0
"t18,t161",4,5,17,11,0,3,35,10,2,17,23,143,26,4,5,5,7,1,0
"t18,t162",2,11,32,48,7,7,45,15,3,32,40,185,49,15,2,14,5,12,0
"t18,t163",6,2,2,8,3,0,9,2,1,11,10,38,11,6,0,8,7,6,0
"t18,t164",2,10,34,56,12,5,44,15,3,32,42,182,60,13,1,16,6,12,0
"t18,t165",3,0,0,2,2,1,7,2,0,2,5,34,7,1,2,15,2,0,0
"t18,t166",1,5,0,17,6,0,11,2,1,16,4,44,24,1,1,13,2,2,0
"t18,t167",0,4,4,70,33,36,13,3,1,11,23,57,21,18,4,9,1,1,0
"t18,t168",0,0,0,16,6,1,11,2,1,5,2,44,1,0,5,2,1,2,0
"t18,t169",5,11,34,46,8,5,44,15,3,36,38,182,58,8,4,5,4,11,0
"t18,t170",2,13,27,21,5,4,36,10,2,30,29,146,72,10,5,10,14,11,0
"t18,t171",0,1,1,145,62,39,10,2,1,4,95,43,15,45,9,15,0,1,0
"t18,t172",2,8,9,6,2,2,26,6,2,23,21,108,61,10,6,6,16,14,0
"t18,t173",7,6,23,28,8,3,33,10,2,17,19,142,28,5,4,7,1,9,0
"t18,t174",3,6,6,2,1,2,19,4,1,10,12,80,51,6,5,9,10,8,0
"t18,t175",6,1,3,13,4,0,8,1,1,12,4,35,3,4,5,15,9,7,0
"t18,t176",8,8,17,25,8,2,32,10,2,16,18,138,51,1,5,10,1,8,0
"t18,t177",3,10,15,35,12,1,36,11,2,23,21,151,66,2,7,13,6,5,0
"t18,t178",6,1,3,1,0,1,12,2,1,12,4,50,3,3,6,11,7,4,0
"t18,t179",7,2,3,12,3,0,6,1,0,3,4,24,28,6,1,12,7,5,0
"t18,t180",1,1,7,11,1,1,3,1,0,0,7,22,9,0,4,9,0,1,0
"t18,t181",4,10,13,15,4,1,30,8,2,25,16,127,57,4,7,7,7,0,0
"t18,t182",4,11,19,10,3,2,30,8,2,25,23,124,66,11,0,3,16,13,0
"t18,t183",2,6,19,36,12,3,24,8,2,17,17,114,24,8,2,19,3,11,0
"t18,t184",1,0,5,30,10,1,3,1,0,3,2,20,11,4,8,7,3,2,0
"t18,t185",4,7,19,22,5,3,41,12,3,21,32,164,42,10,2,11,17,13,0
"t18,t186",3,7,12,22,6,4,27,7,2,22,11,114,48,0,9,0,2,7,0
"t18,t187",4,1,2,1,0,0,6,1,0,1,2,26,1,2,5,15,1,0,0
"t18,t188",8,3,3,15,3,0,5,1,0,11,4,22,31,7,5,9,9,7,0
"t18,t189",1,8,8,8,5,2,24,6,2,21,18,100,62,11,1,17,16,14,0
"t18,t190",3,3,5,5,1,0,10,2,1,4,7,41,42,7,0,17,9,8,0
"t18,t191",4,2,0,2,4,0,6,2,0,4,7,32,9,0,8,11,2,0,0
"t18,t192",1,6,22,27,5,4,40,13,3,23,29,166,35,3,3,3,1,7,0
"t18,t193",2,5,21,10,2,2,33,9,2,18,27,136,24,10,6,2,18,15,0
"t18,t194",6,10,15,11,3,3,26,7,2,20,21,111,64,9,9,23,11,10,0
"t18,t195",1,0,1,28,9,1,6,2,0,0,8,35,9,1,4,9,3,3,0
"t18,t196",5,2,5,7,0,1,16,3,1,12,8,65,11,2,8,4,3,4,0
"t18,t197",0,1,7,27,8,1,3,1,0,7,8,23,0,3,8,14,3,3,0
"t18,t198",8,9,19,31,9,3,33,9,2,22,17,138,62,4,6,12,6,1,0
"t19,t20",4,4,6,1,5,3,14,5,1,12,7,45,19,1,3,9,3,0,0
"t19,t21",3,8,19,40,6,4,19,9,1,19,21,78,33,20,0,11,16,20,0
"t19,t22",6,0,10,22,1,4,14,7,1,11,20,55,17,18,6,12,13,18,0
"t19,t23",5,7,17,7,6,2,21,8,1,19,26,77,34,6,5,1,3,2,0
"t19,t24",11,8,25,43,5,4,24,10,1,23,22,95,33,22,10,13,21,24,0
"t19,t25",1,1,16,33,5,4,20,9,1,9,25,79,14,14,8,9,9,12,0
"t19,t26",1,0,17,26,3,5,15,7,1,5,15,61,11,19,7,5,14,19,0
"t19,t27",8,6,32,57,8,5,35,13,2,19,30,142,12,20,2,10,16,21,0
"t19,t28",8,8,31,41,4,6,27,11,2,23,25,107,28,21,1,9,19,23,0
"t19,t29",8,12,30,61,14,6,44,15,3,34,38,174,46,15,3,1,7,14,0
"t19,t30",10,1,13,34,6,4,10,5,1,4,10,41,26,19,3,13,15,17,0
"t19,t31",6,5,29,42,5,5,26,11,2,18,22,104,11,22,3,5,19,24,0
"t19,t32",9,9,27,45,5,5,28,11,2,23,23,111,23,21,4,5,19,24,0
"t19,t33",4,5,13,14,2,5,8,4,1,19,21,32,17,13,6,5,11,11,0
"t19,t34",7,10,38,58,12,8,39,14,3,30,34,153,54,16,6,6,10,17,0
"t19,t35",1,4,2,3,5,3,14,4,1,14,4,44,20,2,9,8,4,0,0
"t19,t36",7,14,31,21,1,6,38,13,3,45,33,146,49,8,4,9,2,8,0
"t19,t37",2,4,5,20,0,3,4,3,0,15,8,20,12,22,2,11,19,23,0
"t19,t38",0,6,11,33,6,6,15,7,1,17,19,59,21,18,2,14,13,18,0
"t19,t39",3,1,17,28,4,5,18,9,1,9,21,75,2,17,2,6,14,19,0
"t19,t40",4,0,7,9,2,2,1,1,0,5,1,6,20,18,3,1,12,15,0
"t19,t41",2,11,30,205,75,44,40,14,3,38,91,159,38,12,9,1,4,11,0
"t19,t42",2,9,32,32,1,7,40,14,3,33,39,157,35,10,3,1,3,10,0
"t19,t43",3,8,27,23,0,7,38,13,3,32,28,144,38,11,4,2,3,10,0
"t19,t44",2,10,31,46,8,7,41,14,3,34,35,163,38,13,8,5,6,14,0
"t19,t45",1,2,23,26,1,4,24,10,1,6,29,96,0,14,4,5,9,13,0
"t19,t46",2,1,11,12,1,2,2,0,0,0,0,5,15,20,8,8,16,20,0
"t19,t47",7,7,29,19,4,6,37,14,2,24,38,154,23,11,8,9,6,14,0
"t19,t48",10,11,34,47,6,5,38,14,3,24,35,154,44,17,8,2,12,19,0
"t19,t49",6,3,25,47,8,4,21,9,1,15,19,85,12,21,5,8,21,25,0
"t19,t50",6,7,32,16,4,6,37,13,2,28,36,146,27,10,3,2,4,13,0
"t19,t51",3,12,28,27,2,5,32,13,2,31,35,128,62,10,7,15,5,12,0
"t19,t52",1,2,5,2,2,0,0,0,0,4,2,3,14,7,0,13,4,3,0
"t19,t53",13,10,37,55,9,5,39,14,3,25,32,158,46,18,8,8,12,17,0
"t19,t54",7,0,15,10,4,3,9,5,1,7,17,37,22,19,8,13,15,13,0
"t19,t55",2,2,21,21,1,3,18,8,1,8,29,73,10,13,2,8,9,10,0
"t19,t56",4,5,11,31,3,4,11,6,1,17,23,44,15,17,3,3,14,18,0
"t19,t57",4,7,17,16,3,4,12,6,1,21,21,48,18,15,8,7,10,11,0
"t19,t58",6,4,9,0,9,3,13,5,1,20,22,44,18,7,1,9,4,1,0
"t19,t59",2,7,32,43,6,7,37,14,2,26,35,151,36,13,4,6,5,13,0
"t19,t60",3,12,24,15,2,6,39,13,3,39,31,149,49,7,8,12,2,8,0
"t19,t61",6,6,11,6,7,3,17,6,1,19,26,57,17,7,7,3,5,2,0
"t19,t62",2,9,28,129,44,39,37,13,3,35,62,142,39,5,0,2,3,9,0
"t19,t63",2,4,24,42,7,5,26,11,2,16,30,109,5,15,9,10,10,17,0
"t19,t64",8,10,39,42,5,7,42,15,3,32,38,167,33,15,2,6,9,17,0
"t19,t65",10,9,38,44,5,6,33,12,2,23,28,129,33,20,9,5,17,22,0
"t19,t66",0,11,28,32,4,5,29,12,2,27,33,120,43,13,9,9,8,15,0
"t19,t67",5,7,17,133,47,51,21,9,1,20,93,84,34,14,5,6,10,16,0
"t19,t68",7,1,13,30,4,5,13,7,1,2,21,53,23,19,1,8,16,18,0
"t19,t69",9,8,32,49,8,6,37,14,2,25,29,150,21,18,6,5,12,19,0
"t19,t70",4,5,31,24,1,5,31,12,2,18,32,125,20,13,0,1,9,16,0
"t19,t71",3,12,32,40,6,7,43,14,3,42,37,170,48,11,6,1,5,12,0
"t19,t72",6,10,29,28,0,7,41,14,3,35,42,166,51,8,7,11,3,11,0
"t19,t73",0,6,11,33,6,6,15,7,1,16,19,60,21,18,2,15,13,18,0
"t19,t74",4,3,29,47,10,6,25,11,2,12,26,103,20,17,4,6,11,18,0
"t19,t75",4,7,35,40,3,5,31,12,2,32,27,121,2,21,8,11,17,24,0
"t19,t76",2,1,6,7,3,1,1,0,0,3,2,2,1,4,4,6,0,1,0
"t19,t77",2,0,13,6,3,1,2,1,0,3,2,7,7,12,8,3,6,7,0
"t19,t78",5,4,13,6,10,3,21,7,2,15,21,72,10,0,3,4,2,0,0
"t19,t79",3,5,9,30,2,2,10,5,1,16,11,41,19,24,4,11,21,25,0
"t19,t80",0,4,28,45,10,6,28,11,2,14,29,112,19,15,9,2,9,16,0
"t19,t81",2,6,36,30,3,7,33,13,2,20,32,133,25,13,2,8,7,16,0
"t19,t82",1,7,31,19,3,7,36,13,2,25,36,145,26,12,3,13,5,13,0
"t19,t83",4,1,4,5,3,1,4,2,0,3,6,14,8,0,1,1,0,1,0
"t19,t84",9,3,5,0,7,2,15,5,1,14,16,50,12,1,3,15,1,1,0
"t19,t85",7,12,30,45,6,6,38,14,2,28,39,152,49,11,5,1,5,13,0
"t19,t86",1,1,7,26,1,3,10,5,1,4,9,41,29,23,8,9,22,26,0
"t19,t87",2,4,26,37,6,5,26,11,2,14,30,106,11,14,1,8,8,14,0
"t19,t88",6,12,31,33,5,7,38,13,3,40,33,149,50,12,1,0,5,12,0
"t19,t89",1,2,9,23,3,3,4,3,0,2,3,18,26,21,7,1,20,25,0
"t19,t90",3,10,20,20,0,7,43,14,3,33,32,168,48,9,9,6,2,10,0
"t19,t91",5,2,7,13,4,1,4,1,0,7,3,11,1,13,5,10,10,11,0
"t19,t92",6,9,30,25,2,6,39,14,3,30,42,159,50,10,8,6,4,14,0
"t19,t93",2,11,32,30,0,6,35,13,2,26,37,144,48,11,4,8,6,14,0
"t19,t94",8,10,23,45,8,7,44,15,3,30,37,176,34,11,1,11,4,10,0
"t19,t95",7,9,28,49,9,5,27,11,2,22,26,108,41,19,2,1,14,19,0
"t19,t96",11,2,17,8,6,4,12,4,1,14,19,38,6,11,9,2,6,2,0
"t19,t97",1,8,25,47,10,5,24,11,1,22,30,100,33,15,8,4,10,18,0
"t19,t98",3,6,10,27,1,3,13,7,1,17,16,54,24,20,6,12,17,21,0
"t19,t99",6,0,11,48,11,4,18,8,1,11,23,74,11,18,7,14,13,21,0
"t19,t100",7,9,32,43,5,6,40,14,3,32,36,162,24,17,8,9,9,16,0
"t19,t101",13,10,32,47,6,7,45,15,3,38,38,182,32,14,9,15,9,13,0
"t19,t102",2,3,15,2,6,1,10,4,1,10,10,36,4,10,1,7,2,4,0
"t19,t103",0,1,1,1,4,2,3,1,0,1,3,9,6,11,2,7,6,7,0
"t19,t104",3,12,25,25,1,7,42,14,3,35,35,165,47,9,1,4,3,9,0
"t19,t105",4,1,23,21,3,4,14,6,1,10,19,51,14,16,9,3,11,9,0
"t19,t106",9,4,17,3,8,4,19,7,1,16,24,64,1,5,1,2,3,0,0
"t19,t107",2,1,15,28,2,2,12,6,1,5,12,48,17,20,6,1,15,20,0
"t19,t108",4,10,25,31,3,5,29,12,2,27,30,118,61,15,4,4,9,17,0
"t19,t109",3,11,20,19,0,7,43,15,3,28,34,171,47,8,2,7,3,8,0
"t19,t110",2,1,2,6,4,1,2,1,0,2,0,8,9,3,2,11,1,0,0
"t19,t111",2,10,24,8,6,6,38,13,3,35,33,146,39,7,2,2,3,8,0
"t19,t112",4,1,9,4,5,2,4,2,0,4,5,13,3,6,9,8,1,2,0
"t19,t113",3,1,0,4,1,1,5,2,0,0,3,16,5,3,2,14,1,0,0
"t19,t114",4,6,13,25,0,5,16,7,1,17,25,63,26,16,3,10,11,14,0
"t19,t115",2,11,28,30,6,7,38,13,3,38,32,147,50,9,3,2,4,10,0
"t19,t116",2,1,17,21,0,3,8,4,0,3,9,32,26,21,5,4,19,24,0
"t19,t117",4,4,0,3,5,2,14,4,1,15,4,42,19,1,1,8,4,0,0
"t19,t118",1,6,13,16,1,2,5,3,0,19,9,22,22,19,1,11,13,15,0
"t19,t119",1,3,7,23,2,3,1,2,0,9,2,7,3,24,2,7,20,24,0
"t19,t120",8,13,29,22,2,7,41,14,3,37,35,160,47,10,2,5,2,8,0
"t19,t121",2,0,15,24,1,4,21,10,1,5,28,86,11,12,2,14,9,13,0
"t19,t122",3,3,4,3,10,3,17,6,1,14,17,56,13,0,3,7,3,1,0
"t19,t123",1,5,27,30,4,4,28,12,2,19,31,113,23,14,5,1,8,14,0
"t19,t124",0,9,13,22,0,4,22,10,1,23,30,89,37,12,6,3,8,13,0
"t19,t125",6,7,35,53,8,5,32,12,2,22,26,129,5,20,7,2,16,23,0
"t19,t126",2,9,18,33,5,4,25,11,2,22,33,102,41,13,7,12,7,13,0
"t19,t127",6,10,32,52,8,5,33,13,2,22,31,134,41,18,9,11,15,21,0
"t19,t128",1,12,22,19,0,6,43,14,3,38,32,166,47,10,6,14,3,9,0
"t19,t129",6,5,22,7,7,3,22,8,1,16,26,79,11,8,4,0,4,2,0
"t19,t130",1,3,5,8,3,1,1,0,0,9,2,1,10,16,2,9,10,11,0
"t19,t131",1,8,32,22,2,7,39,14,3,30,38,158,37,9,4,1,4,12,0
"t19,t132",2,5,31,24,0,5,31,12,2,20,34,125,24,13,5,3,8,17,0
"t19,t133",6,6,17,14,2,3,9,4,1,20,18,35,14,11,4,11,9,7,0
"t19,t134",1,7,15,33,6,5,20,9,1,18,23,80,36,16,3,15,12,18,0
"t19,t135",3,10,27,26,4,7,41,14,3,31,31,161,48,11,8,8,5,10,0
"t19,t136",5,4,29,46,5,5,28,12,2,15,27,114,1,21,0,15,19,23,0
"t19,t137",8,5,29,53,7,5,27,11,2,20,25,109,2,21,5,7,19,24,0
"t19,t138",2,10,21,18,1,5,39,13,3,33,32,151,39,6,3,12,4,8,0
"t19,t139",9,3,24,43,4,4,22,10,1,25,23,89,14,23,6,12,21,25,0
"t19,t140",2,4,7,14,2,2,0,1,0,12,5,4,15,20,1,7,13,16,0
"t19,t141",5,1,5,19,0,2,4,2,0,7,4,17,22,21,3,2,17,20,0
"t19,t142",1,3,9,12,1,2,2,0,0,10,1,2,7,21,2,6,19,21,0
"t19,t143",7,11,32,216,80,45,37,14,2,30,182,149,49,50,3,6,8,13,0
"t19,t144",4,8,13,34,5,3,19,9,1,21,28,75,29,13,8,6,8,11,0
"t19,t145",2,0,2,8,6,2,0,0,0,4,1,1,13,5,7,1,1,2,0
"t19,t146",8,7,23,25,1,6,33,13,2,24,35,134,21,14,7,8,7,17,0
"t19,t147",3,7,19,40,6,4,18,8,1,20,20,74,29,21,5,9,21,26,0
"t19,t148",2,8,17,20,0,2,18,8,1,21,30,68,28,7,1,12,6,4,0
